[2025-11-07T23:52:47.180Z] backend listening on 8085
[2025-11-08T00:02:49.606Z] GET /health -> 200 (6ms)
[2025-11-08T00:02:50.109Z] GET /health -> 200 (1ms)
[2025-11-08T00:02:50.169Z] GET /boom -> 500 (2ms)
[2025-11-08T00:03:37.516Z] GET /health -> 200 (0ms)
[2025-11-08T00:04:21.079Z] backend listening on 8085
[2025-11-08T00:14:23.222Z] GET /health -> 200 (5ms)
[2025-11-08T00:14:23.456Z] GET /health -> 200 (1ms)
[2025-11-08T00:14:23.473Z] GET /health -> 200 (1ms)
[2025-11-08T00:14:23.499Z] POST /auth/login -> 200 (0ms)
[2025-11-08T00:14:23.505Z] POST /auth/login -> 400 (1ms)
[2025-11-08T00:14:23.509Z] GET /puzzles/123 -> 401 (2ms)
[2025-11-08T00:14:23.512Z] GET /puzzles/42 -> 200 (1ms)
[2025-11-08T00:15:49.017Z] POST /auth/login -> 400 (1ms)
[2025-11-08T00:17:00.136Z] POST /auth/login -> 200 (1ms)
[2025-11-08T00:17:17.323Z] GET /puzzles/7 -> 401 (1ms)
[2025-11-08T00:17:17.557Z] GET /puzzles/7 -> 200 (1ms)
[2025-11-08T00:18:26.902Z] GET /boom -> 500 (1ms)
[2025-11-08T05:47:06.238Z] POST /auth/login -> 400 (1ms)
[2025-11-08T05:47:35.903Z] POST /auth/login -> 200 (0ms)
[2025-11-08T05:48:47.481Z] GET /puzzles/7 -> 200 (0ms)
[2025-11-08T05:53:20.929Z] GET /health -> 200 (1ms)
[2025-11-08T05:53:28.526Z] POST /auth/login -> 400 (1ms)
[2025-11-08T05:53:36.317Z] GET /puzzles/7 -> 401 (0ms)
[2025-11-08T05:53:45.396Z] POST /auth/login -> 200 (1ms)
[2025-11-08T05:53:45.434Z] GET /puzzles/7 -> 200 (1ms)
[2025-11-08T05:53:55.994Z] GET /boom -> 500 (0ms)
[2025-11-08T05:54:03.538Z] GET /puzzles/7 -> 200 (0ms)
[2025-11-08T06:05:04.554Z] GET /health -> 200 (0ms)
[2025-11-08T06:05:04.804Z] GET /health -> 200 (1ms)
[2025-11-08T06:05:04.820Z] GET /health -> 200 (1ms)
[2025-11-08T06:05:04.827Z] POST /auth/login -> 200 (0ms)
[2025-11-08T06:05:04.833Z] POST /auth/login -> 400 (1ms)
[2025-11-08T06:05:04.835Z] GET /puzzles/123 -> 401 (0ms)
[2025-11-08T06:05:04.838Z] GET /puzzles/42 -> 200 (1ms)
