"FilePath","LineNumber","MatchType","RouteValue","Snippet"
"backend/src/daily-challenge/dailyChallengeEngine.ts","3","ROUTE_OR_NAVIGATION_REFERENCE","","* Pure functions only – not yet wired into HTTP routes."
"backend/src/daily-challenge/dailyChallengeRoutes.ts","1","ROUTE_OR_NAVIGATION_REFERENCE","","import { Router, Request, Response } from ""express"";"
"backend/src/daily-challenge/dailyChallengeRoutes.ts","95","ROUTE_OR_NAVIGATION_REFERENCE","","* Create an Express router with:"
"backend/src/daily-challenge/dailyChallengeRoutes.ts","100","ROUTE_OR_NAVIGATION_REFERENCE","","export function createDailyChallengeRouter(): Router {"
"backend/src/daily-challenge/dailyChallengeRoutes.ts","101","ROUTE_OR_NAVIGATION_REFERENCE","","const router = Router();"
"backend/src/daily-challenge/dailyChallengeRoutes.ts","104","ROUTE_OR_NAVIGATION_REFERENCE","","router.get(""/daily/status"", (req: Request, res: Response) => {"
"backend/src/daily-challenge/dailyChallengeRoutes.ts","120","ROUTE_OR_NAVIGATION_REFERENCE","","router.get(""/daily"", (req: Request, res: Response) => {"
"backend/src/daily-challenge/dailyChallengeRoutes.ts","138","ROUTE_OR_NAVIGATION_REFERENCE","","router.post(""/daily/answer"", (req: Request, res: Response) => {"
"backend/src/daily-challenge/dailyChallengeRoutes.ts","288","ROUTE_OR_NAVIGATION_REFERENCE","","return router;"
"backend/src/game/adaptive_recommendation_v2.js","2","ROUTE_OR_NAVIGATION_REFERENCE","","const path = require(""path"");"
"backend/src/game/adaptive_recommendation_v2_test.js","2","ROUTE_OR_NAVIGATION_REFERENCE","","const path = require(""path"");"
"backend/src/game/adaptive_recommendation_v2_test.js","5","ROUTE_OR_NAVIGATION_REFERENCE","","const profilePath = path.join(__dirname, ""user_skill_profile_v2_schema.json"");"
"backend/src/game/adaptive_recommendation_v2_test.js","6","ROUTE_OR_NAVIGATION_REFERENCE","","const backupPath = path.join(__dirname, ""user_skill_profile_v2_schema.rec.backup.json"");"
"backend/src/game/mindlab_v2_persistence_store.js","2","ROUTE_OR_NAVIGATION_REFERENCE","","const path = require(""path"");"
"backend/src/game/mindlab_v2_route_registry.js","5","ROUTE_OR_NAVIGATION_REFERENCE","","function registerMindLabV2Routes() {"
"backend/src/game/mindlab_v2_route_registry.js","26","ROUTE_OR_NAVIGATION_REFERENCE","","registerMindLabV2Routes"
"backend/src/game/mindlab_v2_route_registry_test.js","2","ROUTE_OR_NAVIGATION_REFERENCE","","const path = require(""path"");"
"backend/src/game/mindlab_v2_route_registry_test.js","3","ROUTE_OR_NAVIGATION_REFERENCE","","const { registerMindLabV2Routes } = require(""./mindlab_v2_route_registry"");"
"backend/src/game/mindlab_v2_route_registry_test.js","5","ROUTE_OR_NAVIGATION_REFERENCE","","const storePath = path.join(__dirname, ""mindlab_v2_runtime_store.json"");"
"backend/src/game/mindlab_v2_route_registry_test.js","6","ROUTE_OR_NAVIGATION_REFERENCE","","const backupPath = path.join(__dirname, ""mindlab_v2_runtime_store.test.backup.json"");"
"backend/src/game/mindlab_v2_route_registry_test.js","7","ROUTE_OR_NAVIGATION_REFERENCE","","const profilePath = path.join(__dirname, ""user_skill_profile_v2_schema.json"");"
