"RelativePath","Extension","Signals","Priority","RecommendedAction","PassFailRule"
"frontend\src\_legacy_js_backup_20251208\api.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\App.backup.js",".js","APP_ENTRY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\App.js",".js","APP_ENTRY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\auth.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\dailyChallengeApi.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\DailyChallengeDetailPage.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\DailyChallengeHomeCard.js",".js","ROUTING_SIGNAL","P2","REVIEW_FOR_ROUTE_OR_NAV_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\ErrorBanner.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\ErrorBoundary.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\GamePanel.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\HealthPanel.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\main.js",".js","ROUTING_SIGNAL","P2","REVIEW_FOR_ROUTE_OR_NAV_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\models.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\ProgressPanel.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\_legacy_js_backup_20251208\ResultBanner.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\ageModes\adultsAgeMode.ts",".ts","ADULTS_MODE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\ageModes\AdultsModeVisiblePanel.tsx",".tsx","ADULTS_MODE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\ageModes\ageModeRegistry.ts",".ts","ADULTS_MODE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\ageModes\appFlowAgeModes.ts",".ts","ADULTS_MODE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\ageModes\index.ts",".ts","ADULTS_MODE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\api.ts",".ts","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\apiService.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\App.backup.tsx",".tsx","APP_ENTRY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\App.tsx",".tsx","ROUTING_SIGNAL|NAVIGATION_SIGNAL|APP_ENTRY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\app\mindlab_kids_runtime.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\auth.ts",".ts","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\components\DailyCompletionCard.tsx",".tsx","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\components\ErrorBanner.tsx",".tsx","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\components\ErrorBoundary.tsx",".tsx","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\components\GamePanel.tsx",".tsx","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\components\HealthPanel.tsx",".tsx","ROUTING_SIGNAL|NAVIGATION_SIGNAL","P2","REVIEW_FOR_ROUTE_OR_NAV_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\components\ProgressPanel.tsx",".tsx","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\components\ResultBanner.tsx",".tsx","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\daily-challenge\dailyChallengeApi.ts",".ts","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\daily-challenge\DailyChallengeDetailPage.tsx",".tsx","ROUTING_SIGNAL|NAVIGATION_SIGNAL","P2","REVIEW_FOR_ROUTE_OR_NAV_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\daily-challenge\DailyChallengeHomeCard.tsx",".tsx","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\daily-challenge\models.ts",".ts","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\data\kids\mindlab_kids_content_selector.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\data\kids\mindlab_kids_pack_index.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\data\kids\mindlab_kids_seed_puzzles.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\data\kids\packs\mindlab_kids_pack_k1.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\data\kids\packs\mindlab_kids_pack_k2.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\data\kids\packs\mindlab_kids_pack_k3.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\data\kids\packs\mindlab_kids_pack_k4.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\data\kids\packs\mindlab_kids_pack_k5.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_adaptive_engine.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_backend_route_probe.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_browser_app.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_engine_test.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_game_logic.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_output_adapter.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_progress_store.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_safe_fetch.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_score_payload.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_score_submitter.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_state_sync.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\engine\mindlab_state_tracker.js",".js","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\env.d.ts",".ts","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\env_probe.ts",".ts","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\features\adults\adultsGameplayContent.ts",".ts","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\features\adults\AdultsGameplayPanel.tsx",".tsx","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\features\adults\AdultsLanding.tsx",".tsx","NO_ROUTE_UI_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"frontend\src\features\adults\adultsPersistence.ts",".ts","ADULTS_MODE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
