"RelativePath","Extension","Signals","Priority","RecommendedAction","PassFailRule"
"backend\src\_quarantine\server.backup.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\_quarantine\server.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\_quarantine\server.ts",".ts","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\contentEngine.js",".js","GAMEPLAY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\daily-challenge\dailyChallengeEngine.ts",".ts","GAMEPLAY_SIGNAL|ROUTING_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\daily-challenge\dailyChallengeRoutes.ts",".ts","GAMEPLAY_SIGNAL|ROUTING_SIGNAL|PROGRESS_SIGNAL|APP_SURFACE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\data\age_categories\adults_baseline_2026-04-30.json",".json","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\data\progress.json",".json","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\data\puzzleDifficulty.json",".json","GAMEPLAY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\db.js",".js","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\adaptive_recommendation_v2.js",".js","GAMEPLAY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\adaptive_recommendation_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_orchestrator_v2.js",".js","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_orchestrator_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_v2.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_v2_schema.json",".json","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_monthly_report_generator_v2.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_monthly_report_generator_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_monthly_report_v2_schema.json",".json","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_report_generator_v2.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_report_generator_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_weekly_report_v2_schema.json",".json","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_export_service.js",".js","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_persistence_service.js",".js","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_persistence_store.js",".js","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_route_registry.js",".js","ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_route_registry_test.js",".js","GAMEPLAY_SIGNAL|ROUTING_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_runtime_store.json",".json","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_dna_v2_schema.json",".json","GAMEPLAY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_api_controller_v2.js",".js","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_api_controller_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_orchestrator_v2.js",".js","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_request_v2_schema.json",".json","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_response_v2_schema.json",".json","GAMEPLAY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_service_v2.js",".js","GAMEPLAY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\recommendation_api_controller_v2.js",".js","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\recommendation_service_v2.js",".js","GAMEPLAY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\user_skill_profile_v2_schema.json",".json","GAMEPLAY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\user_skill_progression_v2.js",".js","PROGRESS_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\user_skill_progression_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\puzzles.json",".json","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\puzzles\_legacy\puzzles.json",".json","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\puzzles\index.json",".json","NO_GAMEPLAY_ROUTING_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
