"RelativePath","Extension","Signals","Priority","RecommendedAction","PassFailRule"
"backend\src\_quarantine\server.backup.js",".js","NO_POLISH_BALANCING_UX_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\_quarantine\server.js",".js","BALANCING_SIGNAL|POLISH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\_quarantine\server.ts",".ts","NO_POLISH_BALANCING_UX_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\contentEngine.js",".js","NO_POLISH_BALANCING_UX_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\daily-challenge\dailyChallengeEngine.ts",".ts","UX_SIGNAL|BALANCING_SIGNAL|POLISH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\daily-challenge\dailyChallengeRoutes.ts",".ts","UX_SIGNAL|BALANCING_SIGNAL|POLISH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\data\age_categories\adults_baseline_2026-04-30.json",".json","BALANCING_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\data\progress.json",".json","NO_POLISH_BALANCING_UX_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\data\puzzleDifficulty.json",".json","NO_POLISH_BALANCING_UX_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\db.js",".js","NO_POLISH_BALANCING_UX_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\adaptive_recommendation_v2.js",".js","BALANCING_SIGNAL|POLISH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\adaptive_recommendation_v2_test.js",".js","BALANCING_SIGNAL|POLISH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_orchestrator_v2.js",".js","POLISH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_orchestrator_v2_test.js",".js","POLISH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_v2.js",".js","POLISH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
