"RelativePath","Extension","Signals","Priority","RecommendedAction","PassFailRule"
"backend\src\_quarantine\server.backup.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\_quarantine\server.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\_quarantine\server.ts",".ts","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\contentEngine.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\daily-challenge\dailyChallengeEngine.ts",".ts","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\daily-challenge\dailyChallengeRoutes.ts",".ts","EVIDENCE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\data\age_categories\adults_baseline_2026-04-30.json",".json","ADULTS_SIGNAL|EVIDENCE_SIGNAL|FINAL_READINESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\data\progress.json",".json","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\data\puzzleDifficulty.json",".json","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\db.js",".js","EVIDENCE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\adaptive_recommendation_v2.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\adaptive_recommendation_v2_test.js",".js","ADULTS_SIGNAL|EVIDENCE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_orchestrator_v2.js",".js","EVIDENCE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_orchestrator_v2_test.js",".js","ADULTS_SIGNAL|EVIDENCE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_v2.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_v2_schema.json",".json","EVIDENCE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\ai_dataset_export_v2_test.js",".js","ADULTS_SIGNAL|EVIDENCE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_monthly_report_generator_v2.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_monthly_report_generator_v2_test.js",".js","EVIDENCE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_monthly_report_v2_schema.json",".json","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_report_generator_v2.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_report_generator_v2_test.js",".js","EVIDENCE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\cognitive_weekly_report_v2_schema.json",".json","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_export_service.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_persistence_service.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_persistence_store.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_route_registry.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_route_registry_test.js",".js","ADULTS_SIGNAL|EVIDENCE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\mindlab_v2_runtime_store.json",".json","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_dna_v2_schema.json",".json","ADULTS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_api_controller_v2.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_api_controller_v2_test.js",".js","ADULTS_SIGNAL|EVIDENCE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_orchestrator_v2.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_request_v2_schema.json",".json","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_response_v2_schema.json",".json","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\puzzle_generation_service_v2.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\recommendation_api_controller_v2.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\recommendation_service_v2.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\user_skill_profile_v2_schema.json",".json","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\user_skill_progression_v2.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\game\user_skill_progression_v2_test.js",".js","ADULTS_SIGNAL|EVIDENCE_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\PASTE_PATH_FROM_STEP_1.txt",".txt","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\puzzles.json",".json","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\puzzles\_legacy\puzzles.json",".json","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\puzzles\index.json",".json","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\routes\progress.ts",".ts","EVIDENCE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\routes\score.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\src\uxhelpers.js",".js","NO_FINAL_READINESS_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"docs\planning\adults_foundation\00_next_steps_2026-04-30\adults_foundation_execution_tracker_2026-04-30.csv",".csv","ADULTS_SIGNAL|EVIDENCE_SIGNAL|FINAL_READINESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"docs\planning\adults_foundation\00_next_steps_2026-04-30\adults_foundation_next_steps_roadmap_2026-04-30.csv",".csv","ADULTS_SIGNAL|EVIDENCE_SIGNAL|FINAL_READINESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"docs\planning\adults_foundation\00_next_steps_2026-04-30\adults_foundation_runbook_2026-04-30.txt",".txt","ADULTS_SIGNAL|EVIDENCE_SIGNAL|FINAL_READINESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"docs\planning\adults_foundation\01_scope_baseline_2026-04-30\adults_implementation_queue_2026-04-30.csv",".csv","ADULTS_SIGNAL|EVIDENCE_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"docs\planning\adults_foundation\01_scope_baseline_2026-04-30\adults_risk_control_matrix_2026-04-30.csv",".csv","ADULTS_SIGNAL|EVIDENCE_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"docs\planning\adults_foundation\01_scope_baseline_2026-04-30\adults_scope_baseline_runbook_2026-04-30.txt",".txt","ADULTS_SIGNAL|EVIDENCE_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"docs\planning\adults_foundation\01_scope_baseline_2026-04-30\adults_scope_decision_matrix_2026-04-30.csv",".csv","ADULTS_SIGNAL|EVIDENCE_SIGNAL|FINAL_READINESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
