"EntryKey","EntryType","Area","Item","ItemInstance","Field","SuggestedValue","FinalValue","Status","SourceHint"
"Lookup|Wave2|SignoffCheckpoint|AllowedValue|1","Lookup","Wave2","SignoffCheckpoint","1","AllowedValue","","1","READY","Wave2 SignoffCheckpoint lookup"
"Lookup|Wave2|SignoffCheckpoint|AllowedValue|2","Lookup","Wave2","SignoffCheckpoint","2","AllowedValue","","2","READY","Wave2 SignoffCheckpoint lookup"
"Field|Wave2|W2-B01|1|OwnerName","Field","Wave2","W2-B01","1","OwnerName","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B01|1|OwnerEmail","Field","Wave2","W2-B01","1","OwnerEmail","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B01|1|ApproverName","Field","Wave2","W2-B01","1","ApproverName","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B01|1|ApproverEmail","Field","Wave2","W2-B01","1","ApproverEmail","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B01|1|QaReviewer","Field","Wave2","W2-B01","1","QaReviewer","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B01|1|SignoffCheckpoint","Field","Wave2","W2-B01","1","SignoffCheckpoint","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B02|1|OwnerName","Field","Wave2","W2-B02","1","OwnerName","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B02|1|OwnerEmail","Field","Wave2","W2-B02","1","OwnerEmail","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B02|1|ApproverName","Field","Wave2","W2-B02","1","ApproverName","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B02|1|ApproverEmail","Field","Wave2","W2-B02","1","ApproverEmail","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B02|1|QaReviewer","Field","Wave2","W2-B02","1","QaReviewer","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B02|1|SignoffCheckpoint","Field","Wave2","W2-B02","1","SignoffCheckpoint","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B03|1|OwnerName","Field","Wave2","W2-B03","1","OwnerName","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B03|1|OwnerEmail","Field","Wave2","W2-B03","1","OwnerEmail","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B03|1|ApproverName","Field","Wave2","W2-B03","1","ApproverName","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B03|1|ApproverEmail","Field","Wave2","W2-B03","1","ApproverEmail","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B03|1|QaReviewer","Field","Wave2","W2-B03","1","QaReviewer","","","REQUIRED","BusinessValueRequired"
"Field|Wave2|W2-B03|1|SignoffCheckpoint","Field","Wave2","W2-B03","1","SignoffCheckpoint","","","REQUIRED","BusinessValueRequired"
"Field|Legacy|TBD|1|ProposedTarget","Field","Legacy","TBD","1","ProposedTarget","","","REQUIRED","BusinessValueRequired"
"Field|Legacy|TBD|1|Approver","Field","Legacy","TBD","1","Approver","","","REQUIRED","BusinessValueRequired"
"Field|Legacy|TBD|1|MappingApproved","Field","Legacy","TBD","1","MappingApproved","","","REQUIRED","BusinessValueRequired"
"Field|Legacy|TBD|1|RewriteRequired","Field","Legacy","TBD","1","RewriteRequired","","","REQUIRED","BusinessValueRequired"
"Field|Legacy|TBD|2|ProposedTarget","Field","Legacy","TBD","2","ProposedTarget","","","REQUIRED","BusinessValueRequired"
"Field|Legacy|TBD|2|Approver","Field","Legacy","TBD","2","Approver","","","REQUIRED","BusinessValueRequired"
"Field|Legacy|TBD|2|MappingApproved","Field","Legacy","TBD","2","MappingApproved","","","REQUIRED","BusinessValueRequired"
"Field|Legacy|TBD|2|RewriteRequired","Field","Legacy","TBD","2","RewriteRequired","","","REQUIRED","BusinessValueRequired"
"Field|CrossAge|Adults|1|OwnerName","Field","CrossAge","Adults","1","OwnerName","","","REQUIRED","BusinessValueRequired"
"Field|CrossAge|Adults|1|OwnerEmail","Field","CrossAge","Adults","1","OwnerEmail","","","REQUIRED","BusinessValueRequired"
"Field|CrossAge|Adults|1|DependencyReviewer","Field","CrossAge","Adults","1","DependencyReviewer","","","REQUIRED","BusinessValueRequired"
"Field|CrossAge|Seniors|1|OwnerName","Field","CrossAge","Seniors","1","OwnerName","","","REQUIRED","BusinessValueRequired"
"Field|CrossAge|Seniors|1|OwnerEmail","Field","CrossAge","Seniors","1","OwnerEmail","","","REQUIRED","BusinessValueRequired"
"Field|CrossAge|Seniors|1|DependencyReviewer","Field","CrossAge","Seniors","1","DependencyReviewer","","","REQUIRED","BusinessValueRequired"
