"ReviewOrder","Priority","Exists","FilePath","ReviewFocus"
"1","High","False","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_ready_import_2026-04-21.csv","Missing artifact"
"2","High","True","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\external_approved_values_received_template_2026-04-21.csv","Normalized approvals still blank"
"3","High","True","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_proof_pack_2026-04-21.csv","Current gate proof"
"4","High","True","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_root_cause_audit_2026-04-21.csv","First audit"
"5","High","True","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_deep_root_cause_2026-04-21.csv","Deep audit"
"6","High","True","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\final_lane_status_2026-04-21.csv","Lane status"
"7","High","True","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_blocked_status_2026-04-21.csv","Block state"
"8","Medium","True","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_external_approval_processor_2026-04-21.ps1","Earlier processor logic"
"9","Medium","True","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_recovery_pipeline_2026-04-21.ps1","Recovery pipeline"
"10","Medium","True","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_downstream_hard_block_2026-04-21.ps1","Apply block gate"
"11","Medium","True","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_single_entry_controller_2026-04-21.ps1","Single entry runner"
"12","Medium","True","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_strict_external_loader_2026-04-21.ps1","Strict source gate"
