"Area","FilePath","Exists","RowCount","ApprovedRowCount","MissingColumns","KeyCoverage"
"External Source","C:\Projects\MindLab_External_Input\wave2_exact_source_external_approved_values.csv","Y","1","0","","ItemKey=True;FieldName=True"
"Coverage Request","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_missing_external_values_request_2026-04-21.csv","Y","1","0","","ItemKey=True;FieldName=True"
"Original Request","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","Y","2","0","ItemKey|FieldName","ItemKey=False;FieldName=False"
"Target Intake","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_approved_value_intake_2026-04-18.csv","Y","2","0","ItemKey|FieldName","ItemKey=False;FieldName=False"
"Template","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\external_approved_values_received_template_2026-04-21.csv","Y","1","0","","ItemKey=True;FieldName=True"
"Ready Import","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_ready_import_2026-04-21.csv","N","0","0","ItemKey|FieldName|ApprovedNewValue",""
"Audit","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_root_cause_audit_2026-04-21.csv","Y","5","0","","ItemKey=False;FieldName=False"
"Audit","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_deep_root_cause_2026-04-21.csv","Y","5","0","","ItemKey=False;FieldName=False"
"Proof","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_proof_pack_2026-04-21.csv","Y","4","0","","ItemKey=False;FieldName=False"
"Status","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\final_lane_status_2026-04-21.csv","Y","1","0","","ItemKey=False;FieldName=False"
"Status","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_blocked_status_2026-04-21.csv","Y","1","0","","ItemKey=False;FieldName=False"
"Script","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_external_approval_processor_2026-04-21.ps1","Y","0","0","",""
"Script","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_recovery_pipeline_2026-04-21.ps1","Y","0","0","",""
"Script","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_downstream_hard_block_2026-04-21.ps1","Y","0","0","",""
"Script","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_single_entry_controller_2026-04-21.ps1","Y","0","0","",""
"Script","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_strict_external_loader_2026-04-21.ps1","Y","0","0","",""
