"FileName","FilePath","Exists","ColumnName","ColumnIndex","CandidateRole"
"ExternalInbox","C:\Projects\MindLab_External_Input\wave2_exact_source_external_approved_values.csv","Y","ItemKey","1","ITEMKEY_CANDIDATE"
"ExternalInbox","C:\Projects\MindLab_External_Input\wave2_exact_source_external_approved_values.csv","Y","FieldName","2","FIELDNAME_CANDIDATE"
"ExternalInbox","C:\Projects\MindLab_External_Input\wave2_exact_source_external_approved_values.csv","Y","ApprovedNewValue","3","APPROVEDVALUE_CANDIDATE"
"ExternalInbox","C:\Projects\MindLab_External_Input\wave2_exact_source_external_approved_values.csv","Y","ApprovalSource","4","APPROVALSOURCE_CANDIDATE"
"ExternalInbox","C:\Projects\MindLab_External_Input\wave2_exact_source_external_approved_values.csv","Y","ApprovedBy","5","APPROVEDBY_CANDIDATE"
"ExternalInbox","C:\Projects\MindLab_External_Input\wave2_exact_source_external_approved_values.csv","Y","ApprovedDate","6","APPROVEDDATE_CANDIDATE"
"ExternalInbox","C:\Projects\MindLab_External_Input\wave2_exact_source_external_approved_values.csv","Y","EvidenceReference","7","OTHER"
"SourceRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","Y","Priority","1","OTHER"
"SourceRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","Y","EntryKey","2","OTHER"
"SourceRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","Y","Area","3","OTHER"
"SourceRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","Y","Item","4","OTHER"
"SourceRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","Y","ItemInstance","5","OTHER"
"SourceRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","Y","Field","6","FIELDNAME_CANDIDATE"
"SourceRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","Y","SuggestedValue","7","OTHER"
"SourceRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","Y","FinalValue","8","OTHER"
"SourceRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","Y","Status","9","OTHER"
"SourceRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","Y","ActionNeeded","10","OTHER"
"MissingRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_missing_external_values_request_2026-04-21.csv","Y","ItemKey","1","ITEMKEY_CANDIDATE"
"MissingRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_missing_external_values_request_2026-04-21.csv","Y","FieldName","2","FIELDNAME_CANDIDATE"
"MissingRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_missing_external_values_request_2026-04-21.csv","Y","RequiredReason","3","OTHER"
"MissingRequest","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_missing_external_values_request_2026-04-21.csv","Y","SourceFile","4","OTHER"
"TargetIntake","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_approved_value_intake_2026-04-18.csv","Y","LookupOrder","1","OTHER"
"TargetIntake","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_approved_value_intake_2026-04-18.csv","Y","ApprovedValue","2","APPROVEDVALUE_CANDIDATE"
"TargetIntake","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_approved_value_intake_2026-04-18.csv","Y","ApprovalSource","3","APPROVALSOURCE_CANDIDATE"
"TargetIntake","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_approved_value_intake_2026-04-18.csv","Y","ApprovedBy","4","APPROVEDBY_CANDIDATE"
"TargetIntake","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_approved_value_intake_2026-04-18.csv","Y","ApprovedDate","5","APPROVEDDATE_CANDIDATE"
