"FileName","BaseName","FullPath","LowerFileName","LowerBaseName"
".dockerignore","","C:\Projects\MindLab_Starter_Project\.dockerignore",".dockerignore",""
".editorconfig","","C:\Projects\MindLab_Starter_Project\.editorconfig",".editorconfig",""
".env.mindlab_v2.example",".env.mindlab_v2","C:\Projects\MindLab_Starter_Project\.env.mindlab_v2.example",".env.mindlab_v2.example",".env.mindlab_v2"
".gitattributes","","C:\Projects\MindLab_Starter_Project\.gitattributes",".gitattributes",""
".gitignore","","C:\Projects\MindLab_Starter_Project\.gitignore",".gitignore",""
"archive_duplicates_2025-12-27.ps1","archive_duplicates_2025-12-27","C:\Projects\MindLab_Starter_Project\archive_duplicates_2025-12-27.ps1","archive_duplicates_2025-12-27.ps1","archive_duplicates_2025-12-27"
"ARCHIVE_DUPLICATES_SAFE.ps1","ARCHIVE_DUPLICATES_SAFE","C:\Projects\MindLab_Starter_Project\ARCHIVE_DUPLICATES_SAFE.ps1","archive_duplicates_safe.ps1","archive_duplicates_safe"
"backend_phase2_sanity.ps1","backend_phase2_sanity","C:\Projects\MindLab_Starter_Project\backend_phase2_sanity.ps1","backend_phase2_sanity.ps1","backend_phase2_sanity"
"backend_watchdog.ps1","backend_watchdog","C:\Projects\MindLab_Starter_Project\backend_watchdog.ps1","backend_watchdog.ps1","backend_watchdog"
"CANONICAL_PATHS_REPORT.txt","CANONICAL_PATHS_REPORT","C:\Projects\MindLab_Starter_Project\CANONICAL_PATHS_REPORT.txt","canonical_paths_report.txt","canonical_paths_report"
"capture_warnings_snapshot.ps1","capture_warnings_snapshot","C:\Projects\MindLab_Starter_Project\capture_warnings_snapshot.ps1","capture_warnings_snapshot.ps1","capture_warnings_snapshot"
"check_backend_8085.ps1","check_backend_8085","C:\Projects\MindLab_Starter_Project\check_backend_8085.ps1","check_backend_8085.ps1","check_backend_8085"
"CLAMPPROGRESS_BLOCK.txt","CLAMPPROGRESS_BLOCK","C:\Projects\MindLab_Starter_Project\CLAMPPROGRESS_BLOCK.txt","clampprogress_block.txt","clampprogress_block"
"clean_mindlab_specs.ps1","clean_mindlab_specs","C:\Projects\MindLab_Starter_Project\clean_mindlab_specs.ps1","clean_mindlab_specs.ps1","clean_mindlab_specs"
"compose.sanitized.yml","compose.sanitized","C:\Projects\MindLab_Starter_Project\compose.sanitized.yml","compose.sanitized.yml","compose.sanitized"
"compose_config_output.txt","compose_config_output","C:\Projects\MindLab_Starter_Project\compose_config_output.txt","compose_config_output.txt","compose_config_output"
"create_mindlab_scripts_readme.ps1","create_mindlab_scripts_readme","C:\Projects\MindLab_Starter_Project\create_mindlab_scripts_readme.ps1","create_mindlab_scripts_readme.ps1","create_mindlab_scripts_readme"
"curl_dev_daily_auto.ps1","curl_dev_daily_auto","C:\Projects\MindLab_Starter_Project\curl_dev_daily_auto.ps1","curl_dev_daily_auto.ps1","curl_dev_daily_auto"
"DailyChallengeDetailPage & DailyChallengeDetailPage.docx","DailyChallengeDetailPage & DailyChallengeDetailPage","C:\Projects\MindLab_Starter_Project\DailyChallengeDetailPage & DailyChallengeDetailPage.docx","dailychallengedetailpage & dailychallengedetailpage.docx","dailychallengedetailpage & dailychallengedetailpage"
"DailyCompletionCard.tsx","DailyCompletionCard","C:\Projects\MindLab_Starter_Project\DailyCompletionCard.tsx","dailycompletioncard.tsx","dailycompletioncard"
"daily_cleanup_ports.ps1","daily_cleanup_ports","C:\Projects\MindLab_Starter_Project\daily_cleanup_ports.ps1","daily_cleanup_ports.ps1","daily_cleanup_ports"
"daily_notes.txt","daily_notes","C:\Projects\MindLab_Starter_Project\daily_notes.txt","daily_notes.txt","daily_notes"
"DAY_CLOSE_2025-12-24.ps1","DAY_CLOSE_2025-12-24","C:\Projects\MindLab_Starter_Project\DAY_CLOSE_2025-12-24.ps1","day_close_2025-12-24.ps1","day_close_2025-12-24"
"DIAG_01_full_status.ps1","DIAG_01_full_status","C:\Projects\MindLab_Starter_Project\DIAG_01_full_status.ps1","diag_01_full_status.ps1","diag_01_full_status"
"DIAG_02_frontend_fetch_urls.ps1","DIAG_02_frontend_fetch_urls","C:\Projects\MindLab_Starter_Project\DIAG_02_frontend_fetch_urls.ps1","diag_02_frontend_fetch_urls.ps1","diag_02_frontend_fetch_urls"
"docker-compose.yml","docker-compose","C:\Projects\MindLab_Starter_Project\docker-compose.yml","docker-compose.yml","docker-compose"
"Dockerfile","Dockerfile","C:\Projects\MindLab_Starter_Project\Dockerfile","dockerfile","dockerfile"
"Dockerfile.fullapp","Dockerfile","C:\Projects\MindLab_Starter_Project\Dockerfile.fullapp","dockerfile.fullapp","dockerfile"
"docker_smoke.ps1","docker_smoke","C:\Projects\MindLab_Starter_Project\docker_smoke.ps1","docker_smoke.ps1","docker_smoke"
"end_of_day.ps1","end_of_day","C:\Projects\MindLab_Starter_Project\end_of_day.ps1","end_of_day.ps1","end_of_day"
"ensure_urlacl.ps1","ensure_urlacl","C:\Projects\MindLab_Starter_Project\ensure_urlacl.ps1","ensure_urlacl.ps1","ensure_urlacl"
"expand_daily_ui_coverage.ps1","expand_daily_ui_coverage","C:\Projects\MindLab_Starter_Project\expand_daily_ui_coverage.ps1","expand_daily_ui_coverage.ps1","expand_daily_ui_coverage"
"expand_daily_ui_optional_coverage.ps1","expand_daily_ui_optional_coverage","C:\Projects\MindLab_Starter_Project\expand_daily_ui_optional_coverage.ps1","expand_daily_ui_optional_coverage.ps1","expand_daily_ui_optional_coverage"
"expand_progress_ui_coverage.ps1","expand_progress_ui_coverage","C:\Projects\MindLab_Starter_Project\expand_progress_ui_coverage.ps1","expand_progress_ui_coverage.ps1","expand_progress_ui_coverage"
"export_game_feature_backlog.ps1","export_game_feature_backlog","C:\Projects\MindLab_Starter_Project\export_game_feature_backlog.ps1","export_game_feature_backlog.ps1","export_game_feature_backlog"
"find_statement_error_scripts.ps1","find_statement_error_scripts","C:\Projects\MindLab_Starter_Project\find_statement_error_scripts.ps1","find_statement_error_scripts.ps1","find_statement_error_scripts"
"fix_frontend_react_plugin.ps1","fix_frontend_react_plugin","C:\Projects\MindLab_Starter_Project\fix_frontend_react_plugin.ps1","fix_frontend_react_plugin.ps1","fix_frontend_react_plugin"
"fix_kill_ports.ps1","fix_kill_ports","C:\Projects\MindLab_Starter_Project\fix_kill_ports.ps1","fix_kill_ports.ps1","fix_kill_ports"
"fix_phase_2_2E_rewrite_one_command_fullcheck.ps1","fix_phase_2_2E_rewrite_one_command_fullcheck","C:\Projects\MindLab_Starter_Project\fix_phase_2_2E_rewrite_one_command_fullcheck.ps1","fix_phase_2_2e_rewrite_one_command_fullcheck.ps1","fix_phase_2_2e_rewrite_one_command_fullcheck"
"fix_phase_2_2E_wire_cleanup.ps1","fix_phase_2_2E_wire_cleanup","C:\Projects\MindLab_Starter_Project\fix_phase_2_2E_wire_cleanup.ps1","fix_phase_2_2e_wire_cleanup.ps1","fix_phase_2_2e_wire_cleanup"
"fix_phase_2_2F_backend_contract_test_selfhost.ps1","fix_phase_2_2F_backend_contract_test_selfhost","C:\Projects\MindLab_Starter_Project\fix_phase_2_2F_backend_contract_test_selfhost.ps1","fix_phase_2_2f_backend_contract_test_selfhost.ps1","fix_phase_2_2f_backend_contract_test_selfhost"
"fix_phase_3_1_find_working_server_backup.ps1","fix_phase_3_1_find_working_server_backup","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_find_working_server_backup.ps1","fix_phase_3_1_find_working_server_backup.ps1","fix_phase_3_1_find_working_server_backup"
"fix_phase_3_1_make_server_import_safe.ps1","fix_phase_3_1_make_server_import_safe","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_make_server_import_safe.ps1","fix_phase_3_1_make_server_import_safe.ps1","fix_phase_3_1_make_server_import_safe"
"fix_phase_3_1_repair_health_endpoint_and_tests.ps1","fix_phase_3_1_repair_health_endpoint_and_tests","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_repair_health_endpoint_and_tests.ps1","fix_phase_3_1_repair_health_endpoint_and_tests.ps1","fix_phase_3_1_repair_health_endpoint_and_tests"
"fix_phase_3_1_restore_server_and_fix_contract_tests.ps1","fix_phase_3_1_restore_server_and_fix_contract_tests","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_restore_server_and_fix_contract_tests.ps1","fix_phase_3_1_restore_server_and_fix_contract_tests.ps1","fix_phase_3_1_restore_server_and_fix_contract_tests"
"fix_phase_3_1_rewrite_health_script.ps1","fix_phase_3_1_rewrite_health_script","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_rewrite_health_script.ps1","fix_phase_3_1_rewrite_health_script.ps1","fix_phase_3_1_rewrite_health_script"
"fix_phase_3_1_single_source_fix_importsafe_server_and_health_contract.ps1","fix_phase_3_1_single_source_fix_importsafe_server_and_health_contract","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_single_source_fix_importsafe_server_and_health_contract.ps1","fix_phase_3_1_single_source_fix_importsafe_server_and_health_contract.ps1","fix_phase_3_1_single_source_fix_importsafe_server_and_health_contract"
"fix_phase_3_1_triage_server_and_fix_health_test.ps1","fix_phase_3_1_triage_server_and_fix_health_test","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_triage_server_and_fix_health_test.ps1","fix_phase_3_1_triage_server_and_fix_health_test.ps1","fix_phase_3_1_triage_server_and_fix_health_test"
"frontend_playwright_sanity.ps1","frontend_playwright_sanity","C:\Projects\MindLab_Starter_Project\frontend_playwright_sanity.ps1","frontend_playwright_sanity.ps1","frontend_playwright_sanity"
"frontend_watchdog.ps1","frontend_watchdog","C:\Projects\MindLab_Starter_Project\frontend_watchdog.ps1","frontend_watchdog.ps1","frontend_watchdog"
"full_smoke.ps1","full_smoke","C:\Projects\MindLab_Starter_Project\full_smoke.ps1","full_smoke.ps1","full_smoke"
"global_pause.ps1","global_pause","C:\Projects\MindLab_Starter_Project\global_pause.ps1","global_pause.ps1","global_pause"
"INV_00_inventory_entrypoints.ps1","INV_00_inventory_entrypoints","C:\Projects\MindLab_Starter_Project\INV_00_inventory_entrypoints.ps1","inv_00_inventory_entrypoints.ps1","inv_00_inventory_entrypoints"
"INV_01_backend_frontend_inventory.ps1","INV_01_backend_frontend_inventory","C:\Projects\MindLab_Starter_Project\INV_01_backend_frontend_inventory.ps1","inv_01_backend_frontend_inventory.ps1","inv_01_backend_frontend_inventory"
"INV_02_duplicate_server_files.ps1","INV_02_duplicate_server_files","C:\Projects\MindLab_Starter_Project\INV_02_duplicate_server_files.ps1","inv_02_duplicate_server_files.ps1","inv_02_duplicate_server_files"
"INV_03_progress_ui_audit.ps1","INV_03_progress_ui_audit","C:\Projects\MindLab_Starter_Project\INV_03_progress_ui_audit.ps1","inv_03_progress_ui_audit.ps1","inv_03_progress_ui_audit"
"locate_real_routes.ps1","locate_real_routes","C:\Projects\MindLab_Starter_Project\locate_real_routes.ps1","locate_real_routes.ps1","locate_real_routes"
"logs.ps1","logs","C:\Projects\MindLab_Starter_Project\logs.ps1","logs.ps1","logs"
"MindLab_Automation_Summary_12.05.2025.docx","MindLab_Automation_Summary_12.05.2025","C:\Projects\MindLab_Starter_Project\MindLab_Automation_Summary_12.05.2025.docx","mindlab_automation_summary_12.05.2025.docx","mindlab_automation_summary_12.05.2025"
"mindlab_daily.ps1","mindlab_daily","C:\Projects\MindLab_Starter_Project\mindlab_daily.ps1","mindlab_daily.ps1","mindlab_daily"
"mindlab_daily_routine.ps1","mindlab_daily_routine","C:\Projects\MindLab_Starter_Project\mindlab_daily_routine.ps1","mindlab_daily_routine.ps1","mindlab_daily_routine"
"mindlab_daily_start.ps1","mindlab_daily_start","C:\Projects\MindLab_Starter_Project\mindlab_daily_start.ps1","mindlab_daily_start.ps1","mindlab_daily_start"
"mindlab_end_of_day.ps1","mindlab_end_of_day","C:\Projects\MindLab_Starter_Project\mindlab_end_of_day.ps1","mindlab_end_of_day.ps1","mindlab_end_of_day"
"MindLab_Game_Feature_Backlog_2025-11-28.docx","MindLab_Game_Feature_Backlog_2025-11-28","C:\Projects\MindLab_Starter_Project\MindLab_Game_Feature_Backlog_2025-11-28.docx","mindlab_game_feature_backlog_2025-11-28.docx","mindlab_game_feature_backlog_2025-11-28"
"MindLab_Game_Feature_Backlog_2025-11-28.txt","MindLab_Game_Feature_Backlog_2025-11-28","C:\Projects\MindLab_Starter_Project\MindLab_Game_Feature_Backlog_2025-11-28.txt","mindlab_game_feature_backlog_2025-11-28.txt","mindlab_game_feature_backlog_2025-11-28"
"mindlab_plan_2025-12-11.rtf","mindlab_plan_2025-12-11","C:\Projects\MindLab_Starter_Project\mindlab_plan_2025-12-11.rtf","mindlab_plan_2025-12-11.rtf","mindlab_plan_2025-12-11"
"mindlab_start_of_day.ps1","mindlab_start_of_day","C:\Projects\MindLab_Starter_Project\mindlab_start_of_day.ps1","mindlab_start_of_day.ps1","mindlab_start_of_day"
"mindlab_status_2025-12-10.rtf","mindlab_status_2025-12-10","C:\Projects\MindLab_Starter_Project\mindlab_status_2025-12-10.rtf","mindlab_status_2025-12-10.rtf","mindlab_status_2025-12-10"
