"FileName","BaseName","Extension","DirectoryName","FullPath"
".dockerignore","",".dockerignore","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\.dockerignore"
".editorconfig","",".editorconfig","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\.editorconfig"
".env.mindlab_v2.example",".env.mindlab_v2",".example","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\.env.mindlab_v2.example"
".gitattributes","",".gitattributes","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\.gitattributes"
".gitignore","",".gitignore","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\.gitignore"
"archive_duplicates_2025-12-27.ps1","archive_duplicates_2025-12-27",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\archive_duplicates_2025-12-27.ps1"
"ARCHIVE_DUPLICATES_SAFE.ps1","ARCHIVE_DUPLICATES_SAFE",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\ARCHIVE_DUPLICATES_SAFE.ps1"
"backend_phase2_sanity.ps1","backend_phase2_sanity",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\backend_phase2_sanity.ps1"
"backend_watchdog.ps1","backend_watchdog",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\backend_watchdog.ps1"
"CANONICAL_PATHS_REPORT.txt","CANONICAL_PATHS_REPORT",".txt","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\CANONICAL_PATHS_REPORT.txt"
"capture_warnings_snapshot.ps1","capture_warnings_snapshot",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\capture_warnings_snapshot.ps1"
"check_backend_8085.ps1","check_backend_8085",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\check_backend_8085.ps1"
"CLAMPPROGRESS_BLOCK.txt","CLAMPPROGRESS_BLOCK",".txt","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\CLAMPPROGRESS_BLOCK.txt"
"clean_mindlab_specs.ps1","clean_mindlab_specs",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\clean_mindlab_specs.ps1"
"compose.sanitized.yml","compose.sanitized",".yml","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\compose.sanitized.yml"
"compose_config_output.txt","compose_config_output",".txt","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\compose_config_output.txt"
"create_mindlab_scripts_readme.ps1","create_mindlab_scripts_readme",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\create_mindlab_scripts_readme.ps1"
"curl_dev_daily_auto.ps1","curl_dev_daily_auto",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\curl_dev_daily_auto.ps1"
"DailyChallengeDetailPage & DailyChallengeDetailPage.docx","DailyChallengeDetailPage & DailyChallengeDetailPage",".docx","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\DailyChallengeDetailPage & DailyChallengeDetailPage.docx"
"DailyCompletionCard.tsx","DailyCompletionCard",".tsx","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\DailyCompletionCard.tsx"
"daily_cleanup_ports.ps1","daily_cleanup_ports",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\daily_cleanup_ports.ps1"
"daily_notes.txt","daily_notes",".txt","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\daily_notes.txt"
"DAY_CLOSE_2025-12-24.ps1","DAY_CLOSE_2025-12-24",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\DAY_CLOSE_2025-12-24.ps1"
"DIAG_01_full_status.ps1","DIAG_01_full_status",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\DIAG_01_full_status.ps1"
"DIAG_02_frontend_fetch_urls.ps1","DIAG_02_frontend_fetch_urls",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\DIAG_02_frontend_fetch_urls.ps1"
"docker-compose.yml","docker-compose",".yml","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\docker-compose.yml"
"Dockerfile","Dockerfile","","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\Dockerfile"
"Dockerfile.fullapp","Dockerfile",".fullapp","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\Dockerfile.fullapp"
"docker_smoke.ps1","docker_smoke",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\docker_smoke.ps1"
"end_of_day.ps1","end_of_day",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\end_of_day.ps1"
"ensure_urlacl.ps1","ensure_urlacl",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\ensure_urlacl.ps1"
"expand_daily_ui_coverage.ps1","expand_daily_ui_coverage",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\expand_daily_ui_coverage.ps1"
"expand_daily_ui_optional_coverage.ps1","expand_daily_ui_optional_coverage",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\expand_daily_ui_optional_coverage.ps1"
"expand_progress_ui_coverage.ps1","expand_progress_ui_coverage",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\expand_progress_ui_coverage.ps1"
"export_game_feature_backlog.ps1","export_game_feature_backlog",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\export_game_feature_backlog.ps1"
"find_statement_error_scripts.ps1","find_statement_error_scripts",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\find_statement_error_scripts.ps1"
"fix_frontend_react_plugin.ps1","fix_frontend_react_plugin",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_frontend_react_plugin.ps1"
"fix_kill_ports.ps1","fix_kill_ports",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_kill_ports.ps1"
"fix_phase_2_2E_rewrite_one_command_fullcheck.ps1","fix_phase_2_2E_rewrite_one_command_fullcheck",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_phase_2_2E_rewrite_one_command_fullcheck.ps1"
"fix_phase_2_2E_wire_cleanup.ps1","fix_phase_2_2E_wire_cleanup",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_phase_2_2E_wire_cleanup.ps1"
"fix_phase_2_2F_backend_contract_test_selfhost.ps1","fix_phase_2_2F_backend_contract_test_selfhost",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_phase_2_2F_backend_contract_test_selfhost.ps1"
"fix_phase_3_1_find_working_server_backup.ps1","fix_phase_3_1_find_working_server_backup",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_find_working_server_backup.ps1"
"fix_phase_3_1_make_server_import_safe.ps1","fix_phase_3_1_make_server_import_safe",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_make_server_import_safe.ps1"
"fix_phase_3_1_repair_health_endpoint_and_tests.ps1","fix_phase_3_1_repair_health_endpoint_and_tests",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_repair_health_endpoint_and_tests.ps1"
"fix_phase_3_1_restore_server_and_fix_contract_tests.ps1","fix_phase_3_1_restore_server_and_fix_contract_tests",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_restore_server_and_fix_contract_tests.ps1"
"fix_phase_3_1_rewrite_health_script.ps1","fix_phase_3_1_rewrite_health_script",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_rewrite_health_script.ps1"
"fix_phase_3_1_single_source_fix_importsafe_server_and_health_contract.ps1","fix_phase_3_1_single_source_fix_importsafe_server_and_health_contract",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_single_source_fix_importsafe_server_and_health_contract.ps1"
"fix_phase_3_1_triage_server_and_fix_health_test.ps1","fix_phase_3_1_triage_server_and_fix_health_test",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\fix_phase_3_1_triage_server_and_fix_health_test.ps1"
"frontend_playwright_sanity.ps1","frontend_playwright_sanity",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\frontend_playwright_sanity.ps1"
"frontend_watchdog.ps1","frontend_watchdog",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\frontend_watchdog.ps1"
"full_smoke.ps1","full_smoke",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\full_smoke.ps1"
"global_pause.ps1","global_pause",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\global_pause.ps1"
"INV_00_inventory_entrypoints.ps1","INV_00_inventory_entrypoints",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\INV_00_inventory_entrypoints.ps1"
"INV_01_backend_frontend_inventory.ps1","INV_01_backend_frontend_inventory",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\INV_01_backend_frontend_inventory.ps1"
"INV_02_duplicate_server_files.ps1","INV_02_duplicate_server_files",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\INV_02_duplicate_server_files.ps1"
"INV_03_progress_ui_audit.ps1","INV_03_progress_ui_audit",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\INV_03_progress_ui_audit.ps1"
"locate_real_routes.ps1","locate_real_routes",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\locate_real_routes.ps1"
"logs.ps1","logs",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\logs.ps1"
"MindLab_Automation_Summary_12.05.2025.docx","MindLab_Automation_Summary_12.05.2025",".docx","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\MindLab_Automation_Summary_12.05.2025.docx"
"mindlab_daily.ps1","mindlab_daily",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\mindlab_daily.ps1"
"mindlab_daily_routine.ps1","mindlab_daily_routine",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\mindlab_daily_routine.ps1"
"mindlab_daily_start.ps1","mindlab_daily_start",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\mindlab_daily_start.ps1"
"mindlab_end_of_day.ps1","mindlab_end_of_day",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\mindlab_end_of_day.ps1"
"MindLab_Game_Feature_Backlog_2025-11-28.docx","MindLab_Game_Feature_Backlog_2025-11-28",".docx","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\MindLab_Game_Feature_Backlog_2025-11-28.docx"
"MindLab_Game_Feature_Backlog_2025-11-28.txt","MindLab_Game_Feature_Backlog_2025-11-28",".txt","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\MindLab_Game_Feature_Backlog_2025-11-28.txt"
"mindlab_plan_2025-12-11.rtf","mindlab_plan_2025-12-11",".rtf","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\mindlab_plan_2025-12-11.rtf"
"mindlab_start_of_day.ps1","mindlab_start_of_day",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\mindlab_start_of_day.ps1"
"mindlab_status_2025-12-10.rtf","mindlab_status_2025-12-10",".rtf","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\mindlab_status_2025-12-10.rtf"
"move_legacy_scripts.ps1","move_legacy_scripts",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\move_legacy_scripts.ps1"
"package-lock.json","package-lock",".json","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\package-lock.json"
"PATCH_01_add_runtime_fingerprint.ps1","PATCH_01_add_runtime_fingerprint",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_01_add_runtime_fingerprint.ps1"
"PATCH_02_restore_health_and_puzzles.ps1","PATCH_02_restore_health_and_puzzles",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_02_restore_health_and_puzzles.ps1"
"PATCH_03_FORCE_add_health_and_puzzles.ps1","PATCH_03_FORCE_add_health_and_puzzles",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_03_FORCE_add_health_and_puzzles.ps1"
"PATCH_04_fix_progress_ui_FULL.ps1","PATCH_04_fix_progress_ui_FULL",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_04_fix_progress_ui_FULL.ps1"
"PATCH_05D_SOLVE_UI_SPACING_OPTION2_FULL.ps1","PATCH_05D_SOLVE_UI_SPACING_OPTION2_FULL",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_05D_SOLVE_UI_SPACING_OPTION2_FULL.ps1"
"PATCH_05D_SOLVE_UI_SPACING_OPTION2_SAFE.ps1","PATCH_05D_SOLVE_UI_SPACING_OPTION2_SAFE",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_05D_SOLVE_UI_SPACING_OPTION2_SAFE.ps1"
"PATCH_05_frontend_daily_unify_api.ps1","PATCH_05_frontend_daily_unify_api",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_05_frontend_daily_unify_api.ps1"
"PATCH_05_UPGRADE_SANITY_PHASE5_FULL.ps1","PATCH_05_UPGRADE_SANITY_PHASE5_FULL",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_05_UPGRADE_SANITY_PHASE5_FULL.ps1"
"PATCH_05_UPGRADE_SANITY_PHASE5_SAFE_APPEND.ps1","PATCH_05_UPGRADE_SANITY_PHASE5_SAFE_APPEND",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_05_UPGRADE_SANITY_PHASE5_SAFE_APPEND.ps1"
"PATCH_06_fix_DailyChallengeDetailPage_build.ps1","PATCH_06_fix_DailyChallengeDetailPage_build",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_06_fix_DailyChallengeDetailPage_build.ps1"
"PATCH_08_daily_use_backend_solvedIds.ps1","PATCH_08_daily_use_backend_solvedIds",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_08_daily_use_backend_solvedIds.ps1"
"PATCH_09A_fix_puzzle_text_encoding_SAFE.ps1","PATCH_09A_fix_puzzle_text_encoding_SAFE",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_09A_fix_puzzle_text_encoding_SAFE.ps1"
"PATCH_ADD_BACKEND_HEALTH.ps1","PATCH_ADD_BACKEND_HEALTH",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_ADD_BACKEND_HEALTH.ps1"
"patch_backend_progress.ps1","patch_backend_progress",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\patch_backend_progress.ps1"
"PATCH_FIX_API_BASEURL_WARNING_FINAL.ps1","PATCH_FIX_API_BASEURL_WARNING_FINAL",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FIX_API_BASEURL_WARNING_FINAL.ps1"
"PATCH_FIX_API_TS_READENV_V1.ps1","PATCH_FIX_API_TS_READENV_V1",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FIX_API_TS_READENV_V1.ps1"
"PATCH_FIX_API_TS_WARNING_AND_FALLBACK.ps1","PATCH_FIX_API_TS_WARNING_AND_FALLBACK",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FIX_API_TS_WARNING_AND_FALLBACK.ps1"
"PATCH_FIX_API_TS_WARNING_V3.ps1","PATCH_FIX_API_TS_WARNING_V3",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FIX_API_TS_WARNING_V3.ps1"
"PATCH_FIX_API_TS_WARNING_V4.ps1","PATCH_FIX_API_TS_WARNING_V4",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FIX_API_TS_WARNING_V4.ps1"
"PATCH_FRONTEND_DISPLAY_STREAK.ps1","PATCH_FRONTEND_DISPLAY_STREAK",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_DISPLAY_STREAK.ps1"
"PATCH_FRONTEND_DISPLAY_STREAK_SAFE.ps1","PATCH_FRONTEND_DISPLAY_STREAK_SAFE",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_DISPLAY_STREAK_SAFE.ps1"
"PATCH_FRONTEND_DISPLAY_STREAK_V2.ps1","PATCH_FRONTEND_DISPLAY_STREAK_V2",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_DISPLAY_STREAK_V2.ps1"
"PATCH_FRONTEND_DISPLAY_STREAK_V3_SAFE.ps1","PATCH_FRONTEND_DISPLAY_STREAK_V3_SAFE",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_DISPLAY_STREAK_V3_SAFE.ps1"
"PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX.ps1","PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX.ps1"
"PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE.ps1","PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE.ps1"
