"Priority","Area","FilePath","ItemKey","FieldName","CurrentValue","RequiredState","Reason"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","Approver","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ApproverName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","MappingApproved","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","OwnerName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","QaReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","SignoffCheckpoint","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","Approver","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ApproverName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","MappingApproved","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","OwnerName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","QaReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","SignoffCheckpoint","","Concrete non-placeholder value","Open non-blocked field"
