"Area","Item","MissingFields","Status"
"Wave2","W2-B01","OwnerName;OwnerEmail;ApproverName;ApproverEmail;QaReviewer;SignoffCheckpoint","INCOMPLETE"
"Wave2","W2-B02","OwnerName;OwnerEmail;ApproverName;ApproverEmail;QaReviewer;SignoffCheckpoint","INCOMPLETE"
"Wave2","W2-B03","OwnerName;OwnerEmail;ApproverName;ApproverEmail;QaReviewer;SignoffCheckpoint","INCOMPLETE"
"Legacy","TBD","ProposedTarget;Approver;MappingApproved;RewriteRequired","INCOMPLETE"
"Legacy","TBD","ProposedTarget;Approver;MappingApproved;RewriteRequired","INCOMPLETE"
"CrossAge","Adults","OwnerName;OwnerEmail;DependencyReviewer","INCOMPLETE"
"CrossAge","Seniors","OwnerName;OwnerEmail;DependencyReviewer","INCOMPLETE"
"ReleaseSource","CleanUnresolvedSummary","","COMPLETE"
"ReleaseSource","FinalTagReference","","COMPLETE"
"ReleaseSource","FinalHeadReference","","COMPLETE"
"ReleaseSource","ClosureReport","","COMPLETE"
"ReleaseOutput","CleanUnresolvedSummary","","COMPLETE"
"ReleaseOutput","FinalTagReference","","COMPLETE"
"ReleaseOutput","FinalHeadReference","","COMPLETE"
"ReleaseOutput","ClosureReport","","COMPLETE"
