"BatchOrder","QueueOrder","Priority","FilePath","ItemKey","FieldName","CurrentValue","RequiredState","Reason","BatchStatus"
"1","1","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","Approver","","Concrete non-placeholder value","Open non-blocked field","READY_FOR_REVIEW"
"2","2","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field","READY_FOR_REVIEW"
"3","3","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ApproverName","","Concrete non-placeholder value","Open non-blocked field","READY_FOR_REVIEW"
"4","4","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field","READY_FOR_REVIEW"
"5","5","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","MappingApproved","","Concrete non-placeholder value","Open non-blocked field","READY_FOR_REVIEW"
"6","6","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field","READY_FOR_REVIEW"
"7","7","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","OwnerName","","Concrete non-placeholder value","Open non-blocked field","READY_FOR_REVIEW"
"8","8","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field","READY_FOR_REVIEW"
"9","9","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","QaReviewer","","Concrete non-placeholder value","Open non-blocked field","READY_FOR_REVIEW"
"10","10","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field","READY_FOR_REVIEW"
