"QueueOrder","Priority","FilePath","ItemKey","FieldName","CurrentValue","RequiredState","Reason","ActionStatus"
"1","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","Approver","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"2","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"3","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ApproverName","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"4","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"5","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","MappingApproved","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"6","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"7","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","OwnerName","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"8","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"9","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","QaReviewer","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"10","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"11","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","SignoffCheckpoint","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"12","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","Approver","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"13","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"14","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ApproverName","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"15","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"16","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","MappingApproved","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"17","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"18","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","OwnerName","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"19","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"20","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","QaReviewer","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"21","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"22","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","SignoffCheckpoint","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"23","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Approver","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"24","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Approver","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"25","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"26","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"27","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverName","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"28","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverName","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"29","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"30","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"31","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Item","TBD","Concrete non-placeholder value","Open non-blocked field","PENDING"
"32","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Item","TBD","Concrete non-placeholder value","Open non-blocked field","PENDING"
"33","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","MappingApproved","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"34","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","MappingApproved","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"35","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field","PENDING"
