"FilePath","ItemKey","FieldName","CurrentValue","ApprovedNewValue","ApprovalSource","ApprovedBy","ApprovedDate"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","Approver","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ApproverEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ApproverName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","DependencyReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","MappingApproved","","Yes","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","OwnerEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","OwnerName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ProposedTarget","","AdultsGameplayReady","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","QaReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","RewriteRequired","","No","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","SignoffCheckpoint","","Approved","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","Approver","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ApproverEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ApproverName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","DependencyReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","MappingApproved","","Yes","GameDecisionSource","ProjectOwner","2026-04-20"
