"FilePath","ItemKey","FieldName","CurrentValue","NewValue","UpdateStatus","Notes"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","Approver","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ApproverEmail","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ApproverName","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","DependencyReviewer","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","MappingApproved","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","OwnerEmail","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","OwnerName","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","ProposedTarget","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","QaReviewer","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","RewriteRequired","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Adults","SignoffCheckpoint","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","Approver","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ApproverEmail","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ApproverName","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","DependencyReviewer","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","MappingApproved","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","OwnerEmail","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","OwnerName","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ProposedTarget","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","QaReviewer","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","RewriteRequired","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","SignoffCheckpoint","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Approver","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Approver","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverEmail","","","REQUIRED_INPUT",""
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverEmail","","","REQUIRED_INPUT",""
