Area,SourceFile,Metric,Count
"Governance","kids_document_sync_checklist.csv","OPEN rows","5"
"Governance","kids_gate_owners.csv","OPEN gates","10"
"Architecture","kids_category_stage_objectives.csv","TODO objectives","40"
"Architecture","kids_category_purpose_matrix.md","TODO purpose paragraphs","8"
"Architecture","kids_master_taxonomy_map.csv","Pending carryforward cells","16"
"VerticalSlice","pilot_batch_register.csv","Pending design briefs","8"
"VerticalSlice","pilot_batch_register.csv","OPEN implementation states","8"
"VerticalSlice","pilot_batch_register.csv","OPEN QA states","8"
"VerticalSlice","pilot_batch_register.csv","OPEN approval states","8"
"Operations","kids_review_queue.csv","OPEN queue items","5"
"Operations","kids_dependency_log.csv","OPEN dependencies","5"
"Legacy","legacy_register.csv","OPEN legacy rows","1"
"Legacy","legacy_rewrite_queue.csv","OPEN rewrite rows","1"
"Release","kids_post_release_backlog.csv","OPEN backlog rows","1"
