"CandidatePath","MatchCount","DecisionStatus","DecisionReason","SelectedTarget"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_register.csv","398","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_register.csv","398","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_rewrite_queue.csv","398","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_rewrite_queue.csv","398","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_value_bank.csv","314","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_value_bank.csv","314","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_input_missing_fields.csv","252","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_input_missing_fields.csv","252","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_inventory_scan.csv","220","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_inventory_scan.csv","220","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_submission_pack.csv","70","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_submission_pack.csv","70","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_missing_fields.csv","35","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_missing_fields.csv","35","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\closure_sync_2026-04-12\governance_target_discovery.csv","32","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\closure_sync_2026-04-12\governance_target_discovery.csv","32","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_bundle_manifest.csv","27","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_bundle_manifest.csv","27","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\02_architecture\kids_coverage_targets.csv","24","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\02_architecture\kids_coverage_targets.csv","24","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_target_status.csv","20","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_target_status.csv","20","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_unresolved_manual_batch_packet.csv","20","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_unresolved_manual_batch_packet.csv","20","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_packets\K-KC05-K2-B01.csv","20","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_packets\K-KC05-K2-B01.csv","20","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_known_value_map.json","18","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_known_value_map.json","18","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\kids_category_stage_backlog.csv","17","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\kids_category_stage_backlog.csv","17","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_index.csv","17","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_index.csv","17","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_next_execution_queue.md","10","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_next_execution_queue.md","10","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_blocker_capture_request.csv","10","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_blocker_capture_request.csv","10","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_delta.csv","10","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_delta.csv","10","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_packets\K-KC01-K1-B01.csv","10","PENDING","TBD","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_packets\K-KC01-K1-B01.csv","10","PENDING","TBD","TBD"
