"CandidatePath","SnapshotNeeded","SnapshotStatus","SnapshotPath"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_register.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_register.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_rewrite_queue.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_rewrite_queue.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_value_bank.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_value_bank.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_input_missing_fields.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_input_missing_fields.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_inventory_scan.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\legacy_inventory_scan.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_submission_pack.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_submission_pack.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_missing_fields.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\row_lock\current_focus_missing_fields.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\closure_sync_2026-04-12\governance_target_discovery.csv","YES","READY","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_snapshots_2026-04-14\tracker_snapshot.zip"
