"CandidatePath","SnapshotNeeded","SnapshotStatus","SnapshotPath"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_index.csv","YES","PENDING","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_index.csv","YES","PENDING","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_bundle_manifest.csv","YES","PENDING","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_bundle_manifest.csv","YES","PENDING","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_document_sync_checklist.csv","YES","PENDING","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_document_sync_checklist.csv","YES","PENDING","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_next_execution_queue.md","YES","PENDING","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_next_execution_queue.md","YES","PENDING","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\README.md","YES","PENDING","TBD"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\README.md","YES","PENDING","TBD"
