"CandidatePath","MatchCount","TargetDisposition","SelectionStatus"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_index.csv","8","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_index.csv","8","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_bundle_manifest.csv","6","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_bundle_manifest.csv","6","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_document_sync_checklist.csv","6","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_document_sync_checklist.csv","6","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_next_execution_queue.md","4","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_next_execution_queue.md","4","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\README.md","3","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\README.md","3","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_pending_counts.csv","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_pending_counts.csv","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_blocker_exception_register.csv","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_blocker_exception_register.csv","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_change_log.md","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_change_log.md","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_gate_owners.csv","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_gate_owners.csv","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_closure_report.txt","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_closure_report.txt","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_closure_section_status.csv","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_closure_section_status.csv","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\kids_documentation_bundle_index.md","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\kids_documentation_bundle_index.md","2","REVIEW","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\scopes\mindlab_kids_final_review_pack.md","2","REVIEW","PENDING"
