Category,Stage,Objective,Approval status
KC1,K1,TODO,OPEN
KC1,K2,TODO,OPEN
KC1,K3,TODO,OPEN
KC1,K4,TODO,OPEN
KC1,K5,TODO,OPEN
KC2,K1,TODO,OPEN
KC2,K2,TODO,OPEN
KC2,K3,TODO,OPEN
KC2,K4,TODO,OPEN
KC2,K5,TODO,OPEN
KC3,K1,TODO,OPEN
KC3,K2,TODO,OPEN
KC3,K3,TODO,OPEN
KC3,K4,TODO,OPEN
KC3,K5,TODO,OPEN
KC4,K1,TODO,OPEN
KC4,K2,TODO,OPEN
KC4,K3,TODO,OPEN
KC4,K4,TODO,OPEN
KC4,K5,TODO,OPEN
KC5,K1,TODO,OPEN
KC5,K2,TODO,OPEN
KC5,K3,TODO,OPEN
KC5,K4,TODO,OPEN
KC5,K5,TODO,OPEN
KC6,K1,TODO,OPEN
KC6,K2,TODO,OPEN
KC6,K3,TODO,OPEN
KC6,K4,TODO,OPEN
KC6,K5,TODO,OPEN
KC7,K1,TODO,OPEN
KC7,K2,TODO,OPEN
KC7,K3,TODO,OPEN
KC7,K4,TODO,OPEN
KC7,K5,TODO,OPEN
KC8,K1,TODO,OPEN
KC8,K2,TODO,OPEN
KC8,K3,TODO,OPEN
KC8,K4,TODO,OPEN
KC8,K5,TODO,OPEN
