Category,Stage,MinimumCertifiedBatches,Priority,Status
KC1,K1,1,Wave2,OPEN
KC1,K2,1,Wave2,OPEN
KC1,K3,1,Wave2,OPEN
KC1,K4,1,Wave3,OPEN
KC1,K5,1,Wave3,OPEN
KC2,K1,1,Wave2,OPEN
KC2,K2,1,Wave2,OPEN
KC2,K3,1,Wave2,OPEN
KC2,K4,1,Wave3,OPEN
KC2,K5,1,Wave3,OPEN
KC3,K1,1,Wave2,OPEN
KC3,K2,1,Wave2,OPEN
KC3,K3,1,Wave2,OPEN
KC3,K4,1,Wave3,OPEN
KC3,K5,1,Wave3,OPEN
KC4,K1,1,Wave2,OPEN
KC4,K2,1,Wave2,OPEN
KC4,K3,1,Wave2,OPEN
KC4,K4,1,Wave3,OPEN
KC4,K5,1,Wave3,OPEN
KC5,K1,1,Wave2,OPEN
KC5,K2,1,Wave2,OPEN
KC5,K3,1,Wave2,OPEN
KC5,K4,1,Wave3,OPEN
KC5,K5,1,Wave3,OPEN
KC6,K1,1,Wave2,OPEN
KC6,K2,1,Wave2,OPEN
KC6,K3,1,Wave2,OPEN
KC6,K4,1,Wave3,OPEN
KC6,K5,1,Wave3,OPEN
KC7,K1,1,Wave2,OPEN
KC7,K2,1,Wave2,OPEN
KC7,K3,1,Wave2,OPEN
KC7,K4,1,Wave3,OPEN
KC7,K5,1,Wave3,OPEN
KC8,K1,1,Wave2,OPEN
KC8,K2,1,Wave2,OPEN
KC8,K3,1,Wave2,OPEN
KC8,K4,1,Wave3,OPEN
KC8,K5,1,Wave3,OPEN
