Category,Stage,PlannedBatchID,Priority,Owner,State
KC1,K1,K-KC01-K1-B01,Wave1,,OPEN
KC1,K2,K-KC01-K2-B01,Wave1,,OPEN
KC1,K3,K-KC01-K3-B01,Wave2,,OPEN
KC1,K4,K-KC01-K4-B01,Wave3,,OPEN
KC1,K5,K-KC01-K5-B01,Wave3,,OPEN
KC2,K1,K-KC02-K1-B01,Wave1,,OPEN
KC2,K2,K-KC02-K2-B01,Wave1,,OPEN
KC2,K3,K-KC02-K3-B01,Wave2,,OPEN
KC2,K4,K-KC02-K4-B01,Wave3,,OPEN
KC2,K5,K-KC02-K5-B01,Wave3,,OPEN
KC3,K1,K-KC03-K1-B01,Wave2,,OPEN
KC3,K2,K-KC03-K2-B01,Wave2,,OPEN
KC3,K3,K-KC03-K3-B01,Wave2,,OPEN
KC3,K4,K-KC03-K4-B01,Wave3,,OPEN
KC3,K5,K-KC03-K5-B01,Wave3,,OPEN
KC4,K1,K-KC04-K1-B01,Wave1,,OPEN
KC4,K2,K-KC04-K2-B01,Wave1,,OPEN
KC4,K3,K-KC04-K3-B01,Wave2,,OPEN
KC4,K4,K-KC04-K4-B01,Wave3,,OPEN
KC4,K5,K-KC04-K5-B01,Wave3,,OPEN
KC5,K1,K-KC05-K1-B01,Wave1,,OPEN
KC5,K2,K-KC05-K2-B01,Wave1,,OPEN
KC5,K3,K-KC05-K3-B01,Wave2,,OPEN
KC5,K4,K-KC05-K4-B01,Wave3,,OPEN
KC5,K5,K-KC05-K5-B01,Wave3,,OPEN
KC6,K1,K-KC06-K1-B01,Wave2,,OPEN
KC6,K2,K-KC06-K2-B01,Wave2,,OPEN
KC6,K3,K-KC06-K3-B01,Wave2,,OPEN
KC6,K4,K-KC06-K4-B01,Wave3,,OPEN
KC6,K5,K-KC06-K5-B01,Wave3,,OPEN
KC7,K1,K-KC07-K1-B01,Wave2,,OPEN
KC7,K2,K-KC07-K2-B01,Wave2,,OPEN
KC7,K3,K-KC07-K3-B01,Wave2,,OPEN
KC7,K4,K-KC07-K4-B01,Wave3,,OPEN
KC7,K5,K-KC07-K5-B01,Wave3,,OPEN
KC8,K1,K-KC08-K1-B01,Wave2,,OPEN
KC8,K2,K-KC08-K2-B01,Wave2,,OPEN
KC8,K3,K-KC08-K3-B01,Wave2,,OPEN
KC8,K4,K-KC08-K4-B01,Wave3,,OPEN
KC8,K5,K-KC08-K5-B01,Wave3,,OPEN
