"Priority","LegacyID","TargetCertifiedID","Reason","Owner","State"
"1","LEG-001","K-LEGACY-RC-KC07-K1-B01-P01","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"2","LEG-002","K-LEGACY-RC-KC07-K1-B01-P02","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"3","LEG-003","K-LEGACY-RC-KC07-K1-B01-P03","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"4","LEG-004","K-LEGACY-RC-KC07-K1-B01-P04","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"5","LEG-005","K-LEGACY-RC-KC07-K1-B01-P05","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"6","LEG-006","K-LEGACY-RC-KC07-K1-B01-P06","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"7","LEG-007","K-LEGACY-RC-KC07-K1-B01-P07","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"8","LEG-008","K-LEGACY-RC-KC07-K1-B01-P08","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"9","LEG-009","K-LEGACY-RC-KC01-K1-B01-P09","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"10","LEG-010","K-LEGACY-RC-KC01-K1-B01-P10","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"11","LEG-011","K-LEGACY-RC-KC01-K1-B01-P11","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"12","LEG-012","K-LEGACY-RC-KC01-K1-B01-P12","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"13","LEG-013","K-LEGACY-RC-KC01-K1-B01-P13","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"14","LEG-014","K-LEGACY-RC-KC01-K1-B01-P14","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"15","LEG-015","K-LEGACY-RC-KC01-K1-B01-P15","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"16","LEG-016","K-LEGACY-RC-KC01-K1-B01-P16","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"17","LEG-017","K-LEGACY-RC-KC01-K1-B01-P17","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"18","LEG-018","K-LEGACY-RC-KC01-K1-B01-P18","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"19","LEG-019","K-LEGACY-RC-KC01-K1-B01-P19","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"20","LEG-020","K-LEGACY-RC-KC01-K1-B01-P20","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"21","LEG-021","K-LEGACY-RC-KC01-K1-B01-P21","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"22","LEG-022","K-LEGACY-RC-KC01-K1-B01-P22","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"23","LEG-023","K-LEGACY-RC-KC01-K1-B01-P23","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"24","LEG-024","K-LEGACY-RC-KC01-K1-B01-P24","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
