"CertifiedID","EvidenceShellPath","MissingField","IssueType","CurrentValue"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ImplementationStatus","MISSING_OR_REQUIRED","REQUIRED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ImplementationNotes","MISSING_OR_REQUIRED","REQUIRED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","BuildReferences","MISSING_OR_REQUIRED","REQUIRED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","FunctionalQaStatus","MISSING_OR_REQUIRED","REQUIRED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","FunctionalQaSummary","MISSING_OR_REQUIRED","REQUIRED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","FunctionalQaDefects","MISSING_OR_REQUIRED","REQUIRED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","FunctionalQaRetest","MISSING_OR_REQUIRED","REQUIRED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ContentQaStatus","MISSING_OR_REQUIRED","REQUIRED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ContentQaSummary","MISSING_OR_REQUIRED","REQUIRED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","WordingResult","MISSING_OR_REQUIRED","REQUIRED"
