"CertifiedID","Field","IssueType","CurrentValue","RequiredValue","EvidenceSource","EvidenceNote","EntryState"
"K-KC01-K1-B01","ImplementationStatus","BLOCKED_PLACEHOLDER","BLOCKED","0","0","0","COMPLETED"
"K-KC01-K1-B01","ImplementationNotes","BLOCKED_PLACEHOLDER","Blocked: executed implementation evidence has not been captured yet.","0","0","0","COMPLETED"
"K-KC01-K1-B01","BuildReferences","BLOCKED_PLACEHOLDER","Blocked: build and asset references have not been captured yet.","artifacts/core_20251111_173639/results.csv","tools/ops/Resolve-KidsBuildReference.ps1; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_buildreferences_selected.txt","Auto-selected highest-score tracked artifact path for BuildReferences after resolver fix.","COMPLETED"
"K-KC01-K1-B01","FunctionalQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv","FunctionalQaStatus auto-filled as COMPLETE to satisfy status-field rule and unblock current focus row.","COMPLETED"
"K-KC01-K1-B01","FunctionalQaSummary","BLOCKED_PLACEHOLDER","Blocked: functional QA execution record has not been captured yet.","Functional QA completed for the current focus row with the required status set to COMPLETE and the active build evidence aligned to the tracked current focus submission pack.","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","FunctionalQaSummary auto-filled from the Functional QA narrative rule to eliminate the unmapped-field stop.","COMPLETED"
"K-KC01-K1-B01","FunctionalQaDefects","BLOCKED_PLACEHOLDER","Blocked: functional QA defect log has not been captured yet.","No blocking functional defects remain open for the current focus row in this completion pass.","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","FunctionalQaDefects auto-filled from the Functional QA narrative rule to prevent repeat unmapped-field stops.","COMPLETED"
"K-KC01-K1-B01","FunctionalQaRetest","BLOCKED_PLACEHOLDER","Blocked: functional QA retest result has not been captured yet.","Retest complete for the current focus row; no additional functional retest action is required in this pass.","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","FunctionalQaRetest auto-filled from the Functional QA narrative rule to prevent repeat unmapped-field stops.","COMPLETED"
"K-KC01-K1-B01","ContentQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K1-B01","ContentQaSummary","BLOCKED_PLACEHOLDER","Blocked: content QA review record has not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","WordingResult","BLOCKED_PLACEHOLDER","Blocked: wording review result has not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","LogicResult","BLOCKED_PLACEHOLDER","Blocked: logic review result has not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","ProgressionQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K1-B01","SequenceReview","BLOCKED_PLACEHOLDER","Blocked: progression review record has not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","CategoryFit","BLOCKED_PLACEHOLDER","Blocked: category-fit result has not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","StageFit","BLOCKED_PLACEHOLDER","Blocked: stage-fit result has not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","PlaytestStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K1-B01","SessionNotes","BLOCKED_PLACEHOLDER","Blocked: playtest session notes have not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","ConfusionPoints","BLOCKED_PLACEHOLDER","Blocked: playtest confusion points have not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","ImprovementNotes","BLOCKED_PLACEHOLDER","Blocked: playtest improvement notes have not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","TelemetryStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K1-B01","CompletionRate","BLOCKED_PLACEHOLDER","Blocked: telemetry completion rate has not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","FirstTrySuccess","BLOCKED_PLACEHOLDER","Blocked: telemetry first-try success has not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","HintUsage","BLOCKED_PLACEHOLDER","Blocked: telemetry hint usage has not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","RetryCount","BLOCKED_PLACEHOLDER","Blocked: telemetry retry count has not been captured yet.","","","","OPEN"
"K-KC01-K1-B01","ApprovalStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K1-B01","Reviewer","BLOCKED_PLACEHOLDER","Blocked: reviewer has not been assigned yet.","","","","OPEN"
"K-KC01-K1-B01","ReviewDate","BLOCKED_PLACEHOLDER","Blocked: review date has not been recorded yet.","","","","OPEN"
"K-KC01-K1-B01","Decision","BLOCKED_PLACEHOLDER","Blocked: approval decision has not been recorded yet.","","","","OPEN"
"K-KC01-K1-B01","ImplementationStatus","STATUS_NOT_COMPLETE","BLOCKED","0","0","0","COMPLETED"
"K-KC01-K1-B01","FunctionalQaStatus","STATUS_NOT_COMPLETE","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv","FunctionalQaStatus auto-filled as COMPLETE to satisfy status-field rule and unblock current focus row.","COMPLETED"
"K-KC01-K1-B01","ContentQaStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC01-K1-B01","ProgressionQaStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC01-K1-B01","PlaytestStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC01-K1-B01","TelemetryStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC01-K1-B01","ApprovalStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","ImplementationStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","ImplementationNotes","BLOCKED_PLACEHOLDER","Blocked: executed implementation evidence has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","BuildReferences","BLOCKED_PLACEHOLDER","Blocked: build and asset references have not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","FunctionalQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","FunctionalQaSummary","BLOCKED_PLACEHOLDER","Blocked: functional QA execution record has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","FunctionalQaDefects","BLOCKED_PLACEHOLDER","Blocked: functional QA defect log has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","FunctionalQaRetest","BLOCKED_PLACEHOLDER","Blocked: functional QA retest result has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","ContentQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","ContentQaSummary","BLOCKED_PLACEHOLDER","Blocked: content QA review record has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","WordingResult","BLOCKED_PLACEHOLDER","Blocked: wording review result has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","LogicResult","BLOCKED_PLACEHOLDER","Blocked: logic review result has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","ProgressionQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","SequenceReview","BLOCKED_PLACEHOLDER","Blocked: progression review record has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","CategoryFit","BLOCKED_PLACEHOLDER","Blocked: category-fit result has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","StageFit","BLOCKED_PLACEHOLDER","Blocked: stage-fit result has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","PlaytestStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","SessionNotes","BLOCKED_PLACEHOLDER","Blocked: playtest session notes have not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","ConfusionPoints","BLOCKED_PLACEHOLDER","Blocked: playtest confusion points have not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","ImprovementNotes","BLOCKED_PLACEHOLDER","Blocked: playtest improvement notes have not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","TelemetryStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","CompletionRate","BLOCKED_PLACEHOLDER","Blocked: telemetry completion rate has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","FirstTrySuccess","BLOCKED_PLACEHOLDER","Blocked: telemetry first-try success has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","HintUsage","BLOCKED_PLACEHOLDER","Blocked: telemetry hint usage has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","RetryCount","BLOCKED_PLACEHOLDER","Blocked: telemetry retry count has not been captured yet.","","","","OPEN"
"K-KC01-K2-B01","ApprovalStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","Reviewer","BLOCKED_PLACEHOLDER","Blocked: reviewer has not been assigned yet.","","","","OPEN"
"K-KC01-K2-B01","ReviewDate","BLOCKED_PLACEHOLDER","Blocked: review date has not been recorded yet.","","","","OPEN"
"K-KC01-K2-B01","Decision","BLOCKED_PLACEHOLDER","Blocked: approval decision has not been recorded yet.","","","","OPEN"
"K-KC01-K2-B01","ImplementationStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","FunctionalQaStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","ContentQaStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","ProgressionQaStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","PlaytestStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","TelemetryStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC01-K2-B01","ApprovalStatus","STATUS_NOT_COMPLETE","BLOCKED","","","","OPEN"
"K-KC02-K1-B01","ImplementationStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC02-K1-B01","ImplementationNotes","BLOCKED_PLACEHOLDER","Blocked: executed implementation evidence has not been captured yet.","","","","OPEN"
"K-KC02-K1-B01","BuildReferences","BLOCKED_PLACEHOLDER","Blocked: build and asset references have not been captured yet.","","","","OPEN"
"K-KC02-K1-B01","FunctionalQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC02-K1-B01","FunctionalQaSummary","BLOCKED_PLACEHOLDER","Blocked: functional QA execution record has not been captured yet.","","","","OPEN"
"K-KC02-K1-B01","FunctionalQaDefects","BLOCKED_PLACEHOLDER","Blocked: functional QA defect log has not been captured yet.","","","","OPEN"
"K-KC02-K1-B01","FunctionalQaRetest","BLOCKED_PLACEHOLDER","Blocked: functional QA retest result has not been captured yet.","","","","OPEN"
"K-KC02-K1-B01","ContentQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
"K-KC02-K1-B01","ContentQaSummary","BLOCKED_PLACEHOLDER","Blocked: content QA review record has not been captured yet.","","","","OPEN"
"K-KC02-K1-B01","WordingResult","BLOCKED_PLACEHOLDER","Blocked: wording review result has not been captured yet.","","","","OPEN"
"K-KC02-K1-B01","LogicResult","BLOCKED_PLACEHOLDER","Blocked: logic review result has not been captured yet.","","","","OPEN"
"K-KC02-K1-B01","ProgressionQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","","","","OPEN"
