"CertifiedID","Field","Issue","CurrentValue","RequiredValue","EvidenceSource","EvidenceCapturedBy","EvidenceCapturedOn","ReadyToApply"
"K-KC05-K2-B01","CompletionRate","BLOCKED_PLACEHOLDER","Blocked: telemetry completion rate has not been captured yet.","","","","","NO"
"K-KC05-K2-B01","ConfusionPoints","BLOCKED_PLACEHOLDER","Blocked: playtest confusion points have not been captured yet.","","","","","NO"
"K-KC05-K2-B01","Decision","BLOCKED_PLACEHOLDER","Blocked: approval decision has not been recorded yet.","","","","","NO"
"K-KC05-K2-B01","FirstTrySuccess","BLOCKED_PLACEHOLDER","Blocked: telemetry first-try success has not been captured yet.","","","","","NO"
"K-KC05-K2-B01","HintUsage","BLOCKED_PLACEHOLDER","Blocked: telemetry hint usage has not been captured yet.","","","","","NO"
"K-KC05-K2-B01","ImprovementNotes","BLOCKED_PLACEHOLDER","Blocked: playtest improvement notes have not been captured yet.","","","","","NO"
"K-KC05-K2-B01","RetryCount","BLOCKED_PLACEHOLDER","Blocked: telemetry retry count has not been captured yet.","","","","","NO"
"K-KC05-K2-B01","ReviewDate","BLOCKED_PLACEHOLDER","Blocked: review date has not been recorded yet.","","","","","NO"
"K-KC05-K2-B01","Reviewer","BLOCKED_PLACEHOLDER","Blocked: reviewer has not been assigned yet.","","","","","NO"
"K-KC05-K2-B01","SessionNotes","BLOCKED_PLACEHOLDER","Blocked: playtest session notes have not been captured yet.","","","","","NO"
