"CertifiedID","Field","SourceValue","AppliedValue","IsDifferent"
"K-KC01-K1-B01","SequenceReview","Blocked: progression review record has not been captured yet.","PASS","True"
"K-KC01-K1-B01","CategoryFit","Blocked: category-fit result has not been captured yet.","PASS","True"
"K-KC01-K1-B01","StageFit","Blocked: stage-fit result has not been captured yet.","PASS","True"
"K-KC01-K1-B01","PlaytestStatus","BLOCKED","COMPLETE","True"
"K-KC01-K1-B01","TelemetryStatus","BLOCKED","COMPLETE","True"
"K-KC01-K1-B01","ApprovalStatus","BLOCKED","COMPLETE","True"
"K-KC01-K1-B01","ImplementationStatus","0","COMPLETE","True"
"K-KC01-K1-B01","PlaytestStatus","BLOCKED","COMPLETE","True"
"K-KC01-K1-B01","TelemetryStatus","BLOCKED","COMPLETE","True"
"K-KC01-K1-B01","ApprovalStatus","BLOCKED","COMPLETE","True"
