"CertifiedID","EvidenceShellPath","Field","Issue","CurrentValue"
"K-KC05-K2-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","SessionNotes","BLOCKED_PLACEHOLDER","Blocked: playtest session notes have not been captured yet."
"K-KC05-K2-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","ConfusionPoints","BLOCKED_PLACEHOLDER","Blocked: playtest confusion points have not been captured yet."
"K-KC05-K2-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","ImprovementNotes","BLOCKED_PLACEHOLDER","Blocked: playtest improvement notes have not been captured yet."
"K-KC05-K2-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","CompletionRate","BLOCKED_PLACEHOLDER","Blocked: telemetry completion rate has not been captured yet."
"K-KC05-K2-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","FirstTrySuccess","BLOCKED_PLACEHOLDER","Blocked: telemetry first-try success has not been captured yet."
"K-KC05-K2-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","HintUsage","BLOCKED_PLACEHOLDER","Blocked: telemetry hint usage has not been captured yet."
"K-KC05-K2-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","RetryCount","BLOCKED_PLACEHOLDER","Blocked: telemetry retry count has not been captured yet."
"K-KC05-K2-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","Reviewer","BLOCKED_PLACEHOLDER","Blocked: reviewer has not been assigned yet."
"K-KC05-K2-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","ReviewDate","BLOCKED_PLACEHOLDER","Blocked: review date has not been recorded yet."
"K-KC05-K2-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","Decision","BLOCKED_PLACEHOLDER","Blocked: approval decision has not been recorded yet."
