"CommandType","WorkingDirectory","Command","ExitCode","Status","LogPath","StartedAt","EndedAt"
"install-skipped","C:\Projects\MindLab_Starter_Project\api","npm install skipped because package-lock.json is missing","0","SKIPPED_NO_PACKAGE_LOCK","N/A","2026-04-26T12:04:57","2026-04-26T12:04:57"
"install","C:\Projects\MindLab_Starter_Project\ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727","npm ci --no-audit --no-fund","0","PASS","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_ci_ARCHIVE_DUPLICATES_2025_12_27_frontend_20251029_090727_package_json.log","2026-04-26T12:04:57","2026-04-26T12:05:02"
"build","C:\Projects\MindLab_Starter_Project\ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727","npm run build","2","FAIL","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_build_ARCHIVE_DUPLICATES_2025_12_27_frontend_20251029_090727_package_json.log","2026-04-26T12:05:02","2026-04-26T12:05:06"
"lint","C:\Projects\MindLab_Starter_Project\ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727","npm run lint","1","FAIL","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_lint_ARCHIVE_DUPLICATES_2025_12_27_frontend_20251029_090727_package_json.log","2026-04-26T12:05:06","2026-04-26T12:05:09"
"install","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\backend","npm ci --no-audit --no-fund","0","PASS","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_ci_backups_baseline_snapshots_baseline_20251214_115859_backend_package_json.log","2026-04-26T12:05:09","2026-04-26T12:05:13"
"install","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","npm ci --no-audit --no-fund","0","PASS","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_ci_backups_baseline_snapshots_baseline_20251214_115859_frontend_package_json.log","2026-04-26T12:05:13","2026-04-26T12:05:19"
"build","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","npm run build","1","FAIL","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_build_backups_baseline_snapshots_baseline_20251214_115859_frontend_package_json.log","2026-04-26T12:05:19","2026-04-26T12:05:22"
"test","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","npm run test","1","FAIL","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_test_backups_baseline_snapshots_baseline_20251214_115859_frontend_package_json.log","2026-04-26T12:05:22","2026-04-26T12:05:24"
"lint","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","npm run lint","1","FAIL","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_lint_backups_baseline_snapshots_baseline_20251214_115859_frontend_package_json.log","2026-04-26T12:05:24","2026-04-26T12:05:26"
"install-skipped","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","npm install skipped because package-lock.json is missing","0","SKIPPED_NO_PACKAGE_LOCK","N/A","2026-04-26T12:05:26","2026-04-26T12:05:26"
"build","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","npm run build","1","FAIL","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_build_daily_closeout_docs_baseline_20251230_185107_package_json.log","2026-04-26T12:05:26","2026-04-26T12:05:28"
"test","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","npm run test","1","FAIL","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_test_daily_closeout_docs_baseline_20251230_185107_package_json.log","2026-04-26T12:05:28","2026-04-26T12:05:30"
"lint","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","npm run lint","1","FAIL","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_lint_daily_closeout_docs_baseline_20251230_185107_package_json.log","2026-04-26T12:05:30","2026-04-26T12:05:32"
"install","C:\Projects\MindLab_Starter_Project\frontend","npm ci --no-audit --no-fund","0","PASS","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_ci_frontend_package_json.log","2026-04-26T12:05:32","2026-04-26T12:05:37"
"build","C:\Projects\MindLab_Starter_Project\frontend","npm run build","0","PASS","docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_build_frontend_package_json.log","2026-04-26T12:05:37","2026-04-26T12:05:42"
"install-skipped","C:\Projects\MindLab_Starter_Project\web","npm install skipped because package-lock.json is missing","0","SKIPPED_NO_PACKAGE_LOCK","N/A","2026-04-26T12:05:42","2026-04-26T12:05:42"
