"File","Row","Field","RecommendedValue","EvidenceRequired"
"kids_manual_qa_evidence_intake_2026-04-26.csv","GameplayLaunch","RecommendedStatus","PASS","App launch terminal output or screenshot"
"kids_manual_qa_evidence_intake_2026-04-26.csv","GameplayLaunch","Decision","ACCEPTED","App launch terminal output or screenshot"
"kids_manual_qa_evidence_intake_2026-04-26.csv","KidsModeSelection","RecommendedStatus","PASS","Kids mode screenshot or tester note"
"kids_manual_qa_evidence_intake_2026-04-26.csv","KidsModeSelection","Decision","ACCEPTED","Kids mode screenshot or tester note"
"kids_manual_qa_evidence_intake_2026-04-26.csv","CoreGameplayLoop","RecommendedStatus","PASS","End-to-end playthrough note or screen capture"
"kids_manual_qa_evidence_intake_2026-04-26.csv","CoreGameplayLoop","Decision","ACCEPTED","End-to-end playthrough note or screen capture"
"kids_manual_qa_evidence_intake_2026-04-26.csv","ProgressPersistence","RecommendedStatus","PASS","Before/after progress note"
"kids_manual_qa_evidence_intake_2026-04-26.csv","ProgressPersistence","Decision","ACCEPTED","Before/after progress note"
"kids_regression_evidence_checklist_2026-04-26.csv","REG-003","Status","PASS","Kids route/mode load evidence"
"kids_regression_evidence_checklist_2026-04-26.csv","REG-004","Status","PASS","Gameplay loop evidence"
"kids_final_handoff_package_2026-04-26.csv","ManualGameplayQA","Status","ACCEPTED_AFTER_REVIEW","Completed manual QA evidence intake"
"kids_final_handoff_package_2026-04-26.csv","RegressionEvidence","Status","ACCEPTED_AFTER_REVIEW","Completed regression checklist"
"kids_final_handoff_package_2026-04-26.csv","AdultsTransitionGate","Status","READY_AFTER_KIDS_QA_ACCEPTED","Final handoff acceptance"
