"PackageFile","PackageDirectory","ScriptName","ScriptCommand"
"api/package.json","C:\Projects\MindLab_Starter_Project\api","start","node server.js"
"ARCHIVE_DUPLICATES_2025-12-27/frontend_20251029_090727/package.json","C:\Projects\MindLab_Starter_Project\ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727","dev","vite"
"ARCHIVE_DUPLICATES_2025-12-27/frontend_20251029_090727/package.json","C:\Projects\MindLab_Starter_Project\ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727","build","tsc -b && vite build"
"ARCHIVE_DUPLICATES_2025-12-27/frontend_20251029_090727/package.json","C:\Projects\MindLab_Starter_Project\ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727","lint","eslint ."
"ARCHIVE_DUPLICATES_2025-12-27/frontend_20251029_090727/package.json","C:\Projects\MindLab_Starter_Project\ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727","preview","vite preview"
"backend/package.json","C:\Projects\MindLab_Starter_Project\backend","NO_SCRIPTS_PROPERTY","N/A"
"backups/baseline_snapshots/baseline_20251214_115859/backend/package.json","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\backend","dev","nodemon src/server.cjs"
"backups/baseline_snapshots/baseline_20251214_115859/backend/package.json","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\backend","start","node src/server.cjs"
"backups/baseline_snapshots/baseline_20251214_115859/frontend/package.json","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","dev","vite"
"backups/baseline_snapshots/baseline_20251214_115859/frontend/package.json","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","build","vite build"
"backups/baseline_snapshots/baseline_20251214_115859/frontend/package.json","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","preview","vite preview"
"backups/baseline_snapshots/baseline_20251214_115859/frontend/package.json","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","test","vitest"
"backups/baseline_snapshots/baseline_20251214_115859/frontend/package.json","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","lint","eslint src"
"backups/baseline_snapshots/baseline_20251214_115859/frontend/package.json","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","mindlab:daily-ui","playwright test tests/e2e/mindlab-daily-ui.spec.ts --trace=on"
"backups/baseline_snapshots/baseline_20251214_115859/frontend/package.json","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","mindlab-daily-ui","playwright test tests/e2e/mindlab-daily-ui.spec.ts --trace=on"
"backups/baseline_snapshots/baseline_20251214_115859/frontend/package.json","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","mindlab-progress-ui","playwright test tests/e2e/progress-ui.spec.ts --trace=on"
"backups/baseline_snapshots/baseline_20251214_115859/frontend/package.json","C:\Projects\MindLab_Starter_Project\backups\baseline_snapshots\baseline_20251214_115859\frontend","mindlab:daily-ui-optional","playwright test tests/e2e/mindlab-daily-ui-optional.spec.ts --trace=on"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","dev","vite"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","build","vite build"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","preview","vite preview"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","test","vitest"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","lint","eslint src"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","mindlab:daily-ui","playwright test tests/e2e/mindlab-daily-ui.spec.ts --trace=on"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","mindlab-daily-ui","playwright test tests/e2e/mindlab-daily-ui.spec.ts --trace=on"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","mindlab-progress-ui","playwright test tests/e2e/progress-ui.spec.ts --trace=on"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","mindlab:daily-ui-optional","playwright test tests/e2e/mindlab-daily-ui-optional.spec.ts --trace=on"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","test:watch","vitest"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","test:e2e","playwright test"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","test:e2e:ui","playwright test --ui"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","test:e2e:headed","playwright test --headed"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","test:e2e:report","playwright show-report"
"daily_closeout_docs/baseline_20251230_185107/package.json","C:\Projects\MindLab_Starter_Project\daily_closeout_docs\baseline_20251230_185107","test:e2e:prod","playwright test --config=playwright.prod.config.ts"
"deploy/backend/package.json","C:\Projects\MindLab_Starter_Project\deploy\backend","NO_SCRIPTS_PROPERTY","N/A"
"frontend/package.json","C:\Projects\MindLab_Starter_Project\frontend","build","vite build"
"frontend/package.json","C:\Projects\MindLab_Starter_Project\frontend","dev","vite --port 8090"
"frontend/package.json","C:\Projects\MindLab_Starter_Project\frontend","preview","vite preview"
"frontend/package.json","C:\Projects\MindLab_Starter_Project\frontend","start","vite --port 8090"
"web/package.json","C:\Projects\MindLab_Starter_Project\web","dev","node web.js"
