"FileKey","FullPath","Purpose","RequiredBeforePatch","Status"
"PACKAGE_JSON","C:\Projects\MindLab_Starter_Project\frontend\package.json","Build/dev command source","YES","DISCOVERED"
"VITE_ENTRY","C:\Projects\MindLab_Starter_Project\frontend\src\main.tsx","Route gate source","YES","DISCOVERED"
"APP_SOURCE_ROOT","C:\Projects\MindLab_Starter_Project\frontend\src","Discovered frontend source root","YES","DISCOVERED"
"KIDS_FEATURE_DIR","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids","Target Kids feature source directory","YES","READY_TO_CREATE"
"KIDS_LANDING","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\KidsLanding.tsx","Kids route landing page","YES","READY_TO_CREATE"
"KIDS_SESSION_MODES","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsSessionModes.ts","Kids session mode model","YES","READY_TO_CREATE"
"KIDS_GAMEPLAY_CONTENT","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsGameplayContent.ts","Kids structured game content","YES","READY_TO_CREATE"
"KIDS_GAMEPLAY_PANEL","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\KidsGameplayPanel.tsx","Kids gameplay UI","YES","READY_TO_CREATE"
"KIDS_SCORING","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsScoring.ts","Kids scoring and mastery","YES","READY_TO_CREATE"
"KIDS_INSIGHTS","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsPostSessionInsights.ts","Kids post-session encouragement","YES","READY_TO_CREATE"
"KIDS_INSIGHT_PANEL","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\KidsPostSessionInsightPanel.tsx","Kids insight UI","YES","READY_TO_CREATE"
"KIDS_PERSISTENCE","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsPersistence.ts","Kids-only profile/session storage","YES","READY_TO_CREATE"
