"Key","Value","ManualUpdateNeeded"
"PATCH_COMPLETED","K-EXP-PATCH-003","NO"
"KIDS_PERSISTENCE_FILE","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsPersistence.ts","NO"
"KIDS_KEYS_PRESERVED","mindlab.kids.profile.v1|mindlab.kids.sessionHistory.v1","NO"
"ADULTS_KEYS_PROTECTED","No mindlab.adults key used in Kids persistence","NO"
"FIELDS_ADDED","lastExceptionalLevel|lastScoreBand|lastGrowthSignal|lastRecoveryModeSuggestion|lastAdaptiveNextStep|categoryMasterySnapshot","NO"
"BUILD_COMMAND","npm run build","NO"
"BUILD_STATUS","PASS","NO"
"STATIC_FAIL_COUNT","0","NO"
"OVERALL_STATUS","PASS","NO"
"NEXT_ACTION","IMPLEMENT_KIDS_EXPANSION_INSIGHTS","NO"
