"Key","Value","ManualUpdateNeeded"
"OVERALL_STATUS","PASS","NO"
"FAIL_COUNT","0","NO"
"PACKAGE_JSON","C:\Projects\MindLab_Starter_Project\frontend\package.json","NO"
"PACKAGE_DIR","C:\Projects\MindLab_Starter_Project\frontend","NO"
"BUILD_COMMAND","npm run build","NO"
"BUILD_STATUS","PASS","NO"
"SERVER_DEV_COMMAND","npm run dev -- --host 127.0.0.1 --port 8090","NO"
"KIDS_ROUTE_STATUS","PASS","NO"
"ADULTS_ROUTE_STATUS","PASS","NO"
"ROOT_006_STATUS","PASS","NO"
"NEXT_ACTION","RUN_KIDS_EXPANSION_FINAL_QA_CLOSEOUT","NO"
