"FileKey","FullPath","RepoRelativePath","ExpansionRole","PatchAction","Exists","Status"
"PACKAGE_JSON","C:\Projects\MindLab_Starter_Project\frontend\package.json","frontend/package.json","Build command source","NO_SOURCE_PATCH","YES","READY"
"VITE_ENTRY","C:\Projects\MindLab_Starter_Project\frontend\src\main.tsx","frontend/src/main.tsx","Route regression validation","VALIDATE_ONLY","YES","READY"
"KIDS_LANDING","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\KidsLanding.tsx","frontend/src/features/kids/KidsLanding.tsx","Kids shell, mode cards, progress panel host","PATCH_PROGRESS_REVIEW_HOST","YES","READY"
"KIDS_GAMEPLAY_PANEL","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\KidsGameplayPanel.tsx","frontend/src/features/kids/KidsGameplayPanel.tsx","Gameplay display and adaptive round handling","PATCH_ADAPTIVE_FLOW_AND_PROGRESS_SUMMARY","YES","READY"
"KIDS_SESSION_MODES","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsSessionModes.ts","frontend/src/features/kids/kidsSessionModes.ts","Session mode definitions","PATCH_MODE_METADATA_IF_NEEDED","YES","READY"
"KIDS_GAMEPLAY_CONTENT","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsGameplayContent.ts","frontend/src/features/kids/kidsGameplayContent.ts","Expanded categories, stages, prompts, hints, insights","PATCH_EXPANDED_CONTENT","YES","READY"
"KIDS_SCORING","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsScoring.ts","frontend/src/features/kids/kidsScoring.ts","Mastery labels and next-step rules","PATCH_MASTERY_AND_EXCEPTIONAL_LEVELS","YES","READY"
"KIDS_INSIGHTS","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsPostSessionInsights.ts","frontend/src/features/kids/kidsPostSessionInsights.ts","Post-session child-safe insight text","PATCH_EXPANDED_INSIGHTS","YES","READY"
"KIDS_INSIGHT_PANEL","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\KidsPostSessionInsightPanel.tsx","frontend/src/features/kids/KidsPostSessionInsightPanel.tsx","Insight panel display","VALIDATE_OR_PATCH_IF_REQUIRED","YES","READY"
"KIDS_PERSISTENCE","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsPersistence.ts","frontend/src/features/kids/kidsPersistence.ts","Kids-only progress storage","PATCH_PROGRESS_REVIEW_FIELDS","YES","READY"
