"RelativePath","Extension","Signals","Priority","RecommendedAction","PassFailRule"
"backend\src\_quarantine\server.backup.js",".js","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\_quarantine\server.js",".js","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\_quarantine\server.ts",".ts","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\contentEngine.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\daily-challenge\dailyChallengeEngine.ts",".ts","ROUTING_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\daily-challenge\dailyChallengeRoutes.ts",".ts","ROUTING_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL|PATCH_TARGET_PATH_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\data\age_categories\adults_baseline_2026-04-30.json",".json","EXISTING_AGE_CATEGORY_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\data\progress.json",".json","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\data\puzzleDifficulty.json",".json","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\db.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\adaptive_recommendation_v2.js",".js","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\adaptive_recommendation_v2_test.js",".js","AGE_MODE_ARCHITECTURE_SIGNAL|EXISTING_AGE_CATEGORY_SIGNAL|ROUTING_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\ai_dataset_export_orchestrator_v2.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\ai_dataset_export_orchestrator_v2_test.js",".js","AGE_MODE_ARCHITECTURE_SIGNAL|EXISTING_AGE_CATEGORY_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\ai_dataset_export_v2.js",".js","AGE_MODE_ARCHITECTURE_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\ai_dataset_export_v2_schema.json",".json","AGE_MODE_ARCHITECTURE_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\ai_dataset_export_v2_test.js",".js","AGE_MODE_ARCHITECTURE_SIGNAL|EXISTING_AGE_CATEGORY_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\cognitive_monthly_report_generator_v2.js",".js","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\cognitive_monthly_report_generator_v2_test.js",".js","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\cognitive_monthly_report_v2_schema.json",".json","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\cognitive_report_generator_v2.js",".js","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\cognitive_report_generator_v2_test.js",".js","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\cognitive_weekly_report_v2_schema.json",".json","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\mindlab_v2_export_service.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\mindlab_v2_persistence_service.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\mindlab_v2_persistence_store.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\mindlab_v2_route_registry.js",".js","ROUTING_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\mindlab_v2_route_registry_test.js",".js","AGE_MODE_ARCHITECTURE_SIGNAL|EXISTING_AGE_CATEGORY_SIGNAL|ROUTING_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\mindlab_v2_runtime_store.json",".json","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\puzzle_dna_v2_schema.json",".json","AGE_MODE_ARCHITECTURE_SIGNAL|EXISTING_AGE_CATEGORY_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\puzzle_generation_api_controller_v2.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\puzzle_generation_api_controller_v2_test.js",".js","AGE_MODE_ARCHITECTURE_SIGNAL|EXISTING_AGE_CATEGORY_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\puzzle_generation_orchestrator_v2.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\puzzle_generation_request_v2_schema.json",".json","AGE_MODE_ARCHITECTURE_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\puzzle_generation_response_v2_schema.json",".json","GAMEPLAY_PROGRESS_SIGNAL|ACCESSIBILITY_UX_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\puzzle_generation_service_v2.js",".js","GAMEPLAY_PROGRESS_SIGNAL|ACCESSIBILITY_UX_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\recommendation_api_controller_v2.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\recommendation_service_v2.js",".js","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\user_skill_profile_v2_schema.json",".json","AGE_MODE_ARCHITECTURE_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\user_skill_progression_v2.js",".js","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\game\user_skill_progression_v2_test.js",".js","AGE_MODE_ARCHITECTURE_SIGNAL|EXISTING_AGE_CATEGORY_SIGNAL|ROUTING_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\puzzles.json",".json","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\puzzles\_legacy\puzzles.json",".json","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\puzzles\index.json",".json","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\routes\progress.ts",".ts","ROUTING_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL|PATCH_TARGET_PATH_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\routes\score.js",".js","ROUTING_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL|PATCH_TARGET_PATH_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"backend\src\uxhelpers.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\api.js",".js","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\App.backup.js",".js","GAMEPLAY_PROGRESS_SIGNAL|ACCESSIBILITY_UX_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\App.js",".js","GAMEPLAY_PROGRESS_SIGNAL|ACCESSIBILITY_UX_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\auth.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\dailyChallengeApi.js",".js","GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\DailyChallengeDetailPage.js",".js","GAMEPLAY_PROGRESS_SIGNAL|ACCESSIBILITY_UX_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\DailyChallengeHomeCard.js",".js","ROUTING_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL|ACCESSIBILITY_UX_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\ErrorBanner.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\ErrorBoundary.js",".js","ACCESSIBILITY_UX_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\GamePanel.js",".js","ACCESSIBILITY_UX_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\HealthPanel.js",".js","ACCESSIBILITY_UX_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\main.js",".js","ROUTING_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\models.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\ProgressPanel.js",".js","GAMEPLAY_PROGRESS_SIGNAL|ACCESSIBILITY_UX_SIGNAL","P2","REVIEW_FOR_SENIORS_ALIGNMENT","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\_legacy_js_backup_20251208\ResultBanner.js",".js","NO_SENIORS_ARCHITECTURE_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
"frontend\src\ageModes\adultsAgeMode.ts",".ts","AGE_MODE_ARCHITECTURE_SIGNAL|EXISTING_AGE_CATEGORY_SIGNAL|GAMEPLAY_PROGRESS_SIGNAL|PATCH_TARGET_PATH_SIGNAL","P1","SENIORS_PATCH_CANDIDATE_AFTER_ASSUMPTIONS","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ASSUMPTIONS_READY"
