"RelativePath","Extension","Signals","Priority","RecommendedAction","PassFailRule"
"backend\src\_quarantine\server.backup.js",".js","PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\_quarantine\server.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\_quarantine\server.ts",".ts","NO_SENIORS_GAP_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\contentEngine.js",".js","GAMEPLAY_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\daily-challenge\dailyChallengeEngine.ts",".ts","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\daily-challenge\dailyChallengeRoutes.ts",".ts","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\data\age_categories\adults_baseline_2026-04-30.json",".json","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\data\progress.json",".json","PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\data\puzzleDifficulty.json",".json","NO_SENIORS_GAP_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\db.js",".js","NO_SENIORS_GAP_SIGNAL","P3","NO_ACTION_NOW","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\adaptive_recommendation_v2.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\adaptive_recommendation_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\ai_dataset_export_orchestrator_v2.js",".js","TARGET_PATH_SIGNAL","P2","REVIEW_FOR_PATCH","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\ai_dataset_export_orchestrator_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\ai_dataset_export_v2.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\ai_dataset_export_v2_schema.json",".json","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\ai_dataset_export_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\cognitive_monthly_report_generator_v2.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\cognitive_monthly_report_generator_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\cognitive_monthly_report_v2_schema.json",".json","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\cognitive_report_generator_v2.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
"backend\src\game\cognitive_report_generator_v2_test.js",".js","GAMEPLAY_SIGNAL|PROGRESS_SIGNAL|TARGET_PATH_SIGNAL","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_REPO_CLEAN_AND_SENIORS_ONLY_SCOPE"
