"FileKey","Area","Required","FullPath","RepoRelativePath","Status"
"PACKAGE_JSON","Project","YES","C:\Projects\MindLab_Starter_Project\frontend\package.json","frontend/package.json","FOUND"
"APP_ENTRY","Routes","YES","C:\Projects\MindLab_Starter_Project\frontend\src\App.tsx","frontend/src/App.tsx","FOUND"
"KIDS_LANDING","Kids","YES","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\KidsLanding.tsx","frontend/src/features/kids/KidsLanding.tsx","FOUND"
"ADULTS_LANDING","Adults","YES","C:\Projects\MindLab_Starter_Project\frontend\src\features\adults\AdultsLanding.tsx","frontend/src/features/adults/AdultsLanding.tsx","FOUND"
"KIDS_GAMEPLAY_PANEL","Kids","YES","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\KidsGameplayPanel.tsx","frontend/src/features/kids/KidsGameplayPanel.tsx","FOUND"
"ADULTS_GAMEPLAY_PANEL","Adults","NO","C:\Projects\MindLab_Starter_Project\frontend\src\features\adults\AdultsGameplayPanel.tsx","frontend/src/features/adults/AdultsGameplayPanel.tsx","FOUND"
"KIDS_SCORING","Kids","YES","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsScoring.ts","frontend/src/features/kids/kidsScoring.ts","FOUND"
"ADULTS_SCORING","Adults","NO","C:\Projects\MindLab_Starter_Project\frontend\src\features\adults\adultsScoring.ts","frontend/src/features/adults/adultsScoring.ts","FOUND"
"KIDS_PERSISTENCE","Kids","YES","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsPersistence.ts","frontend/src/features/kids/kidsPersistence.ts","FOUND"
"ADULTS_PERSISTENCE","Adults","NO","C:\Projects\MindLab_Starter_Project\frontend\src\features\adults\adultsPersistence.ts","frontend/src/features/adults/adultsPersistence.ts","FOUND"
"KIDS_INSIGHTS","Kids","YES","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\kidsPostSessionInsights.ts","frontend/src/features/kids/kidsPostSessionInsights.ts","FOUND"
"ADULTS_INSIGHTS","Adults","NO","C:\Projects\MindLab_Starter_Project\frontend\src\features\kids\KidsGameplayPanel.tsx","frontend/src/features/kids/KidsGameplayPanel.tsx","FOUND"
